"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"46","48a17140-5009-49fc-96f7-75b0e626891c",1,FALSE,"Flutie Pass Park and Ride",c(208995.60099311, 894476.876903162),"MW"
"47","494a35b9-3c27-46f6-8ded-e8043880a2e0",1,FALSE,"Cirrus Apartments",c(201788.05617385, 889533.525542185),"MW"
"48","496776cd-d98a-4704-985c-7f39e018aa3f",0,FALSE,"Wayside Inn Store/ Hager St",c(201022.844599068, 900126.783664604),"MW"
"49","4abd44aa-df5f-4d82-a1bd-f5b3b82b9a6d",1,FALSE,"Wellesley Office Park",c(220347.428549268, 897423.244665505),"MW"
"50","4c2e7f99-08ae-4d04-b1d1-8ee2f68866ad",0,FALSE,"Kansas St & Route 27",c(211842.503477173, 893457.951383703),"MW"
"51","4c62b8c3-5378-4ef4-9706-87e30e2c1708",1,FALSE,"Newton-Wellesley Hospital",c(220899.764957832, 898024.896940362),"MW"
"52","4ef1e39b-96d3-402b-8f82-bcda377125be",0,FALSE,"Milford Senior Center",c(198720.205523396, 876713.251639467),"MW"
"53","50f02614-d7ed-4faa-b21f-27c8d21dab28",1,FALSE,"Broad St / Lincoln St",c(194813.871407553, 899264.922589742),"MW"
"54","517a9cbd-8ef2-4b39-ae46-f018cb8a8bc6",0,FALSE,"Maher Court",c(199030.279159636, 877459.340008089),"MW"
"55","58f9b39e-73ae-48fb-9178-5c69de45b399",0,FALSE,"Milford Regional Medical Center",c(197615.378382831, 875808.611147435),"MW"
"56","5b5eba65-15c5-4fef-b902-1e297ba4d8e0",0,FALSE,"Kohls",c(208476.002446303, 894725.745911001),"MW"
"57","5bc0337e-0145-41d3-b825-4285af3fbda0",1,FALSE,"Super Stop and Shop",c(208103.028735648, 895058.190046735),"MW"
"58","5e463b38-2425-4526-a4ab-a4e8f745a4ad",1,FALSE,"MassBay Community College",c(219541.966812044, 895743.466649045),"MW"
"59","5ec0f6f9-8492-4516-bb0e-cbc6b5313d1c",0,FALSE,"BJs Wholesale Club ",c(208319.893362964, 895168.727124649),"MW"
"60","6250e0b1-76d5-4a93-9725-ae0d594d6910",2,FALSE,"Natick Mall - Wegmans",c(209371.030525754, 894560.190984639),"MW"
"61","651767dd-06d3-418b-be32-ee1befeff801",1,FALSE,"Framingham State University",c(205176.05304189, 894140.775077059),"MW"
"62","653a7026-997d-4f7c-948b-4d4a655599a0",0,FALSE,"Spruce St",c(198401.843251331, 876864.510380696),"MW"
"63","6b60b122-63e6-446b-91aa-a6068aba603f",0,FALSE,"Apex Entertainment",c(192451.137273118, 898575.865449552),"MW"
"64","6e32ef0c-ef95-4d54-bfab-4fde5006304a",1,FALSE,"New York Ave",c(200972.591896148, 894373.322273837),"MW"
"65","6f5c1a02-d531-4ea0-87a5-a18cca2a7605",1,FALSE,"PriceChopper Hopkinton",c(195739.303745265, 884351.613522914),"MW"
"66","72270960-236c-4e3c-b7fe-63d97deaca92",0,FALSE,"Hudson WalMart",c(195133.313633384, 902722.632236381),"MW"
"67","72eeb424-870f-4754-ab60-975e5776f34d",1,FALSE,"Marlborough City Hall",c(196223.135254624, 899598.450669723),"MW"
"68","73a8ce41-f167-402d-880d-7902aa6f4bad",1,FALSE,"Sherwood Village on Mill St.",c(209596.600556196, 893113.611368165),"MW"
"69","743e3da4-73f1-4dc4-b3f5-96fb2ec75deb",0,FALSE,"Colonial Rd Capital Rd Housing",c(196936.651358424, 878496.251064033),"MW"
"70","76b2f346-87aa-4f7c-b669-bed0672dee06",1,FALSE,"Oak St",c(213854.536429632, 894805.787399037),"MW"
"71","77f43449-c9d4-441a-abf1-6d885a14f6f6",1,FALSE,"Franklin / Mt. Wayte",c(205883.015038389, 893289.771180418),"MW"
"72","7c48755d-4bee-4a8d-b4f4-364c172a30e7",0,FALSE,"Lincoln St & Pearl St",c(206926.588050311, 892404.732310533),"MW"
"73","7ca11456-969c-43d0-a3e6-d0b6dcd50a10",0,FALSE,"Tarelli Ter/Waverly St",c(207991.713319306, 892152.430577693),"MW"
"74","7e3c3f82-c136-40a4-aea1-d2303c9690dd",1,FALSE,"Woodland MBTA Train Station",c(221171.965098025, 898108.536218163),"MW"
"75","7f81b88d-02a0-463a-be76-ae4e76d91da1",1,FALSE,"Staples Drive",c(200960.228697715, 893399.992982597),"MW"
"76","800f4da6-9579-4f8b-8578-e950905f3053",0,FALSE,"Math Works",c(212349.159811393, 894470.793381342),"MW"
"77","81058253-713e-4d79-bba8-b8f8b1abcd39",1,FALSE,"Milford Crossing",c(200962.036415905, 877721.209837565),"MW"
"78","82afee5a-a373-4673-b9d0-cab9c40edce6",0,FALSE,"Bethany Hill",c(205558.92433563, 890896.677660991),"MW"
"79","82e716bb-1434-4367-87eb-181ea29743e5",1,FALSE,"Cedar Terrace",c(211904.069272234, 891394.079392998),"MW"
"80","861050c3-7b47-4045-bd18-cd9ad9f9fa84",0,FALSE,"Riverside Station",c(220455.946297538, 898535.138523199),"MW"
"81","881ad83b-9563-4ae5-8569-032768b27578",0,FALSE,"Hannafords Plaza Marlborough",c(192451.609630373, 898809.888882131),"MW"
"82","8836b64d-6492-4cad-aee4-dff14001f563",1,FALSE,"Memorial House (Winthrop & Hollis)",c(206601.465594828, 891069.517632768),"MW"
