"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"63","799180",3,FALSE,"BAT Center",c(240105.165141158, 870656.527358133),"BAT"
"64","799181",2,FALSE,"Commercial St and School St",c(240098.999658666, 870259.775734593),"BAT"
"65","799182",2,FALSE,"School St and Lincoln St",c(239868.820047005, 870387.746886983),"BAT"
"66","799183",0,FALSE,"Main St and Centre St",c(239736.521015926, 870512.433466939),"BAT"
"67","799184",0,FALSE,"Main St and Petronelli Way",c(239733.84279363, 870592.704378924),"BAT"
"68","799185",0,FALSE,"Main St and Court St",c(239732.416777606, 870665.994588404),"BAT"
"69","799186",2,FALSE,"North Main St and Linden St",c(239764.62166682, 870908.10500968),"BAT"
"70","799187",2,FALSE,"North Main St and Rosseter St",c(239774.100552595, 871149.298006097),"BAT"
"71","799188",2,FALSE,"North Main St and Elliot St",c(239775.915681933, 871267.601055701),"BAT"
"72","799189",2,FALSE,"North Main St and Lebanon St",c(239775.163501209, 871446.134052182),"BAT"
"73","799190",2,FALSE,"North Main St and East Ashland St",c(239769.620195639, 871562.575719653),"BAT"
"74","799191",2,FALSE,"North Main St and Snow Ave",c(239771.569866674, 871774.403175436),"BAT"
"75","799193",0,FALSE,"North Main St at Edith Stein Church",c(239721.948405073, 872153.993901747),"BAT"
"76","799194",2,FALSE,"North Main St and Vine St",c(239624.825712464, 872346.937303438),"BAT"
"77","799195",2,FALSE,"North Main St and Ames St",c(239597.880681319, 872402.100488029),"BAT"
"78","799196",2,FALSE,"North Main St and Emerson Ave",c(239433.805624206, 872661.759320001),"BAT"
"79","799197",2,FALSE,"North Main St and Field St",c(239334.693817109, 872769.058158664),"BAT"
"80","799198",2,FALSE,"North Main St and Howard St",c(239237.874397012, 872866.263470885),"BAT"
"81","799199",2,FALSE,"North Main St and Snell St",c(239106.228989336, 872994.599635235),"BAT"
"82","799200",2,FALSE,"North Main St and Albion St",c(238977.326281507, 873121.398378883),"BAT"
"83","799201",2,FALSE,"North Main St and Waldo St",c(238713.890762622, 873423.844269401),"BAT"
"84","799202",2,FALSE,"North Main St and Frankton St",c(238675.078510669, 873503.493077501),"BAT"
"85","799203",2,FALSE,"North Main St and Augustine St",c(238600.45454073, 873674.137243152),"BAT"
"86","799204",2,FALSE,"North Main St and Wilder St",c(238560.754776891, 873765.333462708),"BAT"
"87","799205",0,FALSE,"East Main St and Fletcher Rd",c(238529.183819992, 873973.423477),"BAT"
"88","799206",0,FALSE,"East Main St and Connolly Rd",c(238563.170722521, 874170.542309085),"BAT"
"89","799207",0,FALSE,"East Main St and Lambert Dr",c(238593.729419876, 874374.195941061),"BAT"
"90","799208",0,FALSE,"East Main St and Memorial Dr",c(238516.556164134, 874786.52304904),"BAT"
"91","799209",0,FALSE,"Walmart",c(238790.935635365, 874664.650895889),"BAT"
"92","799210",2,FALSE,"West Main St and South St",c(238072.45744497, 874474.772285749),"BAT"
"93","799211",0,FALSE,"West Main St and Glendower St",c(238110.358240407, 874393.226950866),"BAT"
"94","799212",2,FALSE,"Maguire Road",c(238440.927993832, 873930.734080107),"BAT"
