"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"62","2448825",0,FALSE,"North Avenue & Gas Company Road",c(233818.368510285, 950896.177073183),"MVRTA"
"63","2448827",1,FALSE,"Andover Street & Beacon Street",c(226775.77058606, 937816.991931552),"MVRTA"
"64","2448828",1,FALSE,"Mystic Street",c(224438.570915992, 941673.025685035),"MVRTA"
"65","2448829",0,FALSE,"YMCA",c(230171.812926425, 935905.311108602),"MVRTA"
"66","2448830",1,FALSE,"Methuen Square",c(225607.126843976, 941946.87650049),"MVRTA"
"67","2448833",1,FALSE,"Market Basket Plaza",c(248891.930887629, 952457.348620643),"MVRTA"
"68","2448835",1,FALSE,"Doctors Park",c(229856.021355584, 936213.871906456),"MVRTA"
"69","2448839",1,FALSE,"Church Street - Central Plaza",c(215822.511948672, 932329.704223478),"MVRTA"
"70","2448840",1,FALSE,"Andover Street & Newton Street",c(227251.206628775, 937952.61967168),"MVRTA"
"71","2448842",0,FALSE,"Monument Square",c(234593.363920422, 947868.850531567),"MVRTA"
"72","2448843",0,FALSE,"Lawrence Street & Park Street",c(227405.652458239, 940692.333530795),"MVRTA"
"73","2448845",3,FALSE,"Washington Square Transit Center",c(234183.931465123, 947067.901520581),"MVRTA"
"74","2448846",0,FALSE,"Rita Hall",c(226887.993514972, 940966.198493186),"MVRTA"
"75","2448849",1,FALSE,"Main Street & School Street",c(229851.780651593, 933250.160590221),"MVRTA"
"76","2448855",1,FALSE,"NECC Haverhill Campus",c(236854.71802579, 949610.546771162),"MVRTA"
"77","2448858",1,FALSE,"E Haverhill & Prospect",c(228285.129533361, 940784.006004499),"MVRTA"
"78","2448859",1,FALSE,"The Loop",c(227882.320910133, 943782.790013255),"MVRTA"
"79","2448860",1,FALSE,"Rita Hall",c(226900.487254275, 940945.349437528),"MVRTA"
"80","2448861",1,FALSE,"Berkeley Home",c(227568.410509421, 941218.937446604),"MVRTA"
"81","2448862",2,FALSE,"State Street",c(251442.32933453, 951075.880589515),"MVRTA"
"82","2448863",2,FALSE,"Jackson Street & Swan Street",c(227971.223906841, 941397.43723126),"MVRTA"
"83","2448865",0,FALSE,"Frye Circle",c(228759.391289295, 935200.3223437),"MVRTA"
"84","2448866",3,FALSE,"Robert B. Kennedy Transfer Center",c(215257.50429179, 931727.581764848),"MVRTA"
"85","2448867",1,FALSE,"Monument Square",c(234585.904762814, 947912.422800569),"MVRTA"
"86","2448870",0,FALSE,"Union Street & Essex Street",c(228385.738933427, 939733.913649565),"MVRTA"
"87","2448872",1,FALSE,"Kennedy Circle",c(237082.038662057, 946261.767573105),"MVRTA"
"88","2448873",0,FALSE,"Shawsheen Square",c(228623.538755622, 935763.449633334),"MVRTA"
"89","2448874",1,FALSE,"White Street & Maple St",c(227346.826786911, 940288.840657404),"MVRTA"
