"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"64","798338",0,FALSE,"Essex Ave & Magnolia Ave",c(264994.807218604, 929206.521671933),"CATA"
"65","798339",0,FALSE,"Essex Ave & Concord St",c(264702.38070496, 929976.214418014),"CATA"
"66","798340",0,FALSE,"Essex Ave & Lawrence Mountain Rd",c(263209.159957266, 930557.721539627),"CATA"
"67","798341",0,FALSE,"Essex Ave & Edgewood Rd",c(266540.67149791, 929565.210716293),"CATA"
"68","798342",0,FALSE,"Essex Ave & Fernald St",c(263474.458710577, 930448.667543921),"CATA"
"69","798343",0,FALSE,"Essex Ave & Forest Ln",c(262617.899502816, 930646.20882843),"CATA"
"70","798344",0,FALSE,"Essex Ave & New Way Ln",c(264430.003444943, 929952.800980519),"CATA"
"71","798345",0,FALSE,"Essex Ave & Woodman St",c(261879.826513424, 930889.237112857),"CATA"
"72","798346",0,FALSE,"Essex Ave & Sumner St",c(262669.907640294, 930635.743298736),"CATA"
"73","798347",0,FALSE,"Essex Town Line",c(261493.88565981, 931172.25503386),"CATA"
"74","798349",0,FALSE,"Gee Ave & Cherry St",c(268079.405078578, 932465.914170349),"CATA"
"75","798350",0,FALSE,"Gloucester Ave & Maplewood Ave",c(268137.960950728, 930591.640198398),"CATA"
"76","798351",0,FALSE,"Gloucester Crossing",c(268765.87915506, 930680.944910538),"CATA"
"77","798352",0,FALSE,"Gloucester High School",c(267673.949194127, 929545.184128766),"CATA"
"78","798353",0,FALSE,"Commuter Rail Station - Gloucester",c(268297.816309157, 929888.902521451),"CATA"
"79","798354",0,FALSE,"Good Harbor Beach",c(271208.971185068, 930583.671432016),"CATA"
"80","798355",0,FALSE,"Hammond Castle",c(266232.302047607, 926438.283193685),"CATA"
"81","798356",0,FALSE,"Heights at Cape Ann",c(266567.251108086, 929583.037804712),"CATA"
"82","798358",0,FALSE,"Lanesville Post Office",c(268950.307881933, 936681.550842779),"CATA"
"83","798359",0,FALSE,"Langsford St & Andrews St",c(269074.717613486, 936836.187872548),"CATA"
"84","798360",0,FALSE,"Langsford St & Norseman Ave",c(269467.385912584, 936971.37050866),"CATA"
"85","798361",0,FALSE,"Langsford St & Rockwood Ln",c(269743.360377521, 937093.09453957),"CATA"
"86","798362",0,FALSE,"Lexington Ave & Flume Rd",c(264666.066214476, 925352.610815703),"CATA"
"87","798364",0,FALSE,"Lincoln Park",c(267776.439425483, 929766.555129744),"CATA"
