timetable_id,stop_id,stop_sequence,stop_name,connected_routes
4,799419,5,Centre Street and Sterling Street,5/Brockton Hospital via Centre Street
4,799402,6,Brockton Hospital,5/Brockton Hospital via Centre Street
4,799420,7,Centre Street and Adams Street,5/Brockton Hospital via Centre Street
4,799421,8,Centre Street and Prince Street,5/Brockton Hospital via Centre Street
4,799422,9,Centre Street and Howland Street,5/Brockton Hospital via Centre Street
4,799423,10,Centre Street and Sheridan Street,5/Brockton Hospital via Centre Street
4,799424,11,East Junior High school,5/Brockton Hospital via Centre Street
4,799426,12,Lyman Street and centre Street,5/Brockton Hospital via Centre Street
4,807106,13,Lyman Street and Centre Street,5/Brockton Hospital via Centre Street
4,799427,14,Lyman Street and wendell Avenue,5/Brockton Hospital via Centre Street
4,799428,15,Lyman Street and Crescent Avenue,5/Brockton Hospital via Centre Street
4,799429,16,Crescent Street and Plymouth Street,5/Brockton Hospital via Centre Street
4,799180,17,BAT Centre,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Routes to Boston and Beyond , 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 28/Bridgewater - Brockton"
5,799411,1,Wal-Mart,"5/Brockton Hospital via Centre Street, RF/Rockland Flex"
5,799412,2,Brocton Avenue at Line,5/Brockton Hospital via Centre Street
5,799417,3,Centre Street and Bates Road,5/Brockton Hospital via Centre Street
5,799418,4,Centre Street and Quincy Street,5/Brockton Hospital via Centre Street
5,799419,5,Centre Street and Sterling Street,5/Brockton Hospital via Centre Street
5,799402,6,Brockton Hospital,5/Brockton Hospital via Centre Street
5,799420,7,Centre Street and Adams Street,5/Brockton Hospital via Centre Street
5,799421,8,Centre Street and Prince Street,5/Brockton Hospital via Centre Street
5,799422,9,Centre Street and Howland Street,5/Brockton Hospital via Centre Street
5,799423,10,Centre Street and Sheridan Street,5/Brockton Hospital via Centre Street
5,799424,11,East Junior High school,5/Brockton Hospital via Centre Street
5,799426,12,Lyman Street and centre Street,5/Brockton Hospital via Centre Street
5,807106,13,Lyman Street and Centre Street,5/Brockton Hospital via Centre Street
5,799427,14,Lyman Street and wendell Avenue,5/Brockton Hospital via Centre Street
5,799428,15,Lyman Street and Crescent Avenue,5/Brockton Hospital via Centre Street
5,799429,16,Crescent Street and Plymouth Street,5/Brockton Hospital via Centre Street
5,799180,17,BAT Centre,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Routes to Boston and Beyond , 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 28/Bridgewater - Brockton"
6,799411,1,Wal-Mart,"5/Brockton Hospital via Centre Street, RF/Rockland Flex"
6,799412,2,Brocton Avenue at Line,5/Brockton Hospital via Centre Street
6,799417,3,Centre Street and Bates Road,5/Brockton Hospital via Centre Street
6,799418,4,Centre Street and Quincy Street,5/Brockton Hospital via Centre Street
6,799419,5,Centre Street and Sterling Street,5/Brockton Hospital via Centre Street
6,799402,6,Brockton Hospital,5/Brockton Hospital via Centre Street
6,799420,7,Centre Street and Adams Street,5/Brockton Hospital via Centre Street
6,799421,8,Centre Street and Prince Street,5/Brockton Hospital via Centre Street
6,799422,9,Centre Street and Howland Street,5/Brockton Hospital via Centre Street
6,799423,10,Centre Street and Sheridan Street,5/Brockton Hospital via Centre Street
6,799424,11,East Junior High school,5/Brockton Hospital via Centre Street
6,799426,12,Lyman Street and centre Street,5/Brockton Hospital via Centre Street
6,807106,13,Lyman Street and Centre Street,5/Brockton Hospital via Centre Street
6,799427,14,Lyman Street and wendell Avenue,5/Brockton Hospital via Centre Street
6,799428,15,Lyman Street and Crescent Avenue,5/Brockton Hospital via Centre Street
6,799429,16,Crescent Street and Plymouth Street,5/Brockton Hospital via Centre Street
6,799180,17,BAT Centre,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Routes to Boston and Beyond , 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 28/Bridgewater - Brockton"
7,799180,1,BAT Centre,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Routes to Boston and Beyond , 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 28/Bridgewater - Brockton"
7,799648,2,N Montello Street and Linden Street,11/Cary Hill & The Village
7,799649,3,N Montello Street and Charles Street,11/Cary Hill & The Village
7,799650,4,N Montello Street and Elliott Street,11/Cary Hill & The Village
7,799651,5,N Montello Street and Lebanon Street,11/Cary Hill & The Village
7,799652,6,N  Montello Street and E Ashland Street,11/Cary Hill & The Village
7,799653,7,E Ashland Street and Mulberry Street,11/Cary Hill & The Village
7,799654,8,E Ashland Street and Emmett Street,11/Cary Hill & The Village
7,799655,9,E Ashland Street and River Street,11/Cary Hill & The Village
7,799656,10,Cary Hill Plaza,11/Cary Hill & The Village
7,799657,11,N Cary Street and Miller Avenue,11/Cary Hill & The Village
7,799658,12,Ames Street and Ridge Street,11/Cary Hill & The Village
