timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
47,2940,0,20150101,20190101,1,1,1,1,1,0,0,Southfield via Warren & Plain Street,Year Round Service (Monday-Friday),Northbound,horizontal
48,2940,1,20150101,20190101,0,0,0,0,0,0,1,Southfield via Warren & Plain Street,Year Round Service (Sunday only),Southbound,horizontal
49,2940,1,20150101,20190101,0,0,0,0,0,1,0,Southfield via Warren & Plain Street,Year Round Service (Saturday only),Southbound,horizontal
50,2940,1,20150101,20190101,1,1,1,1,1,0,0,Southfield via Warren & Plain Street,Year Round Service (Monday-Friday),Southbound,horizontal
51,2934,0,20150101,20190101,0,0,0,0,0,0,1,S Plaza/Campello Via Main Street,Year Round Service (Sunday only),Northbound,horizontal
52,2934,0,20150101,20190101,0,0,0,0,0,1,0,S Plaza/Campello Via Main Street,Year Round Service (Saturday only),Northbound,horizontal
53,2934,0,20150101,20190101,1,1,1,1,1,0,0,S Plaza/Campello Via Main Street,Year Round Service (Monday-Friday),Northbound,horizontal
54,2934,1,20150101,20190101,0,0,0,0,0,0,1,S Plaza/Campello Via Main Street,Year Round Service (Sunday only),Southbound,horizontal
55,2934,1,20150101,20190101,0,0,0,0,0,1,0,S Plaza/Campello Via Main Street,Year Round Service (Saturday only),Southbound,horizontal
56,2934,1,20150101,20190101,1,1,1,1,1,0,0,S Plaza/Campello Via Main Street,Year Round Service (Monday-Friday),Southbound,horizontal
57,2946,0,20150101,20190101,0,0,0,0,0,1,0,Stoughton via Brockton,Year Round Service (Saturday only),Eastbound,horizontal
58,2946,0,20150101,20190101,1,1,1,1,1,0,0,Stoughton via Brockton,Year Round Service (Monday-Friday),Eastbound,horizontal
59,2946,1,20150101,20190101,0,0,0,0,0,1,0,Stoughton via Brockton,Year Round Service (Saturday only),Westbound,horizontal
60,2946,1,20150101,20190101,1,1,1,1,1,0,0,Stoughton via Brockton,Year Round Service (Monday-Friday),Westbound,horizontal
61,2935,0,20150101,20190101,0,0,0,0,0,0,1,VA Hospital via Belmont,Year Round Service (Sunday only),Eastbound,horizontal
62,2935,0,20150101,20190101,0,0,0,0,0,1,0,VA Hospital via Belmont,Year Round Service (Saturday only),Eastbound,horizontal
63,2935,0,20150101,20190101,1,1,1,1,1,0,0,VA Hospital via Belmont,Year Round Service (Monday-Friday),Eastbound,horizontal
