stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
799911,,,Uno's,,42.092316,-71.054277,863,,0,,America/New_York,,,0
799736,,,N Main Street and Oak Street,,42.185024,-71.054726,866,,0,,America/New_York,,,0
799898,,,North Pearl Street and Alandale Avenue,,42.090154,-71.064259,863,,0,,America/New_York,,,0
799720,,,S Main Street and Woodland Parkway,,42.150211,-71.043953,866,,0,,America/New_York,,,0
799769,,,Central Avenue and Elloit Street,,42.269406,-71.073113,865,,0,,America/New_York,,,0
800023,,,Central Street and Pearl Street,,42.133833,-71.110018,,,0,,America/New_York,,,0
799774,,,Dorchester Avenue and St Gregory Street,,42.275413,-71.067117,864,,0,,America/New_York,,,0
799339,,,Pleasant Street and Colonial Street,,42.08698,-71.028389,863,,0,,America/New_York,,,0
799356,,,Oak Street and Chatam West Drive,,42.101723,-71.053122,863,,0,,America/New_York,,,0
799671,,,Field Street and Dyer Street,,42.106657,-71.019284,863,,0,,America/New_York,,,0
799615,,,Howard Street and Chisholm Avenue,,42.112276,-71.023275,863,,0,,America/New_York,,,0
799340,,,Pleasant Street and Weston Street,,42.087416,-71.030401,863,,0,,America/New_York,,,0
799198,,,N Main Street and Howard Street,,42.105229,-71.025602,863,,0,,America/New_York,,,0
799485,,,Summer Street and Baker Street,,42.064476,-71.000599,863,,0,,America/New_York,,,0
799663,,,Arthur Street and Intervale Street,,42.102782,-71.016376,863,,0,,America/New_York,,,0
799329,,,Belmont Street and Newbury Street,,42.079324,-71.025484,863,,0,,America/New_York,,,0
799207,,,E Main Street and Lambert Dr,,42.118837,-71.03329,867,,0,,America/New_York,,,0
799904,,,Oak Street at Church Entrance,,42.101013,-71.058157,863,,0,,America/New_York,,,0
799472,,,Warren Avenue and Tribou Street,,42.068187,-71.020517,863,,0,,America/New_York,,,0
799189,,,N Main Street and Lebanon Street,,42.0924163851586,-71.019202927578,863,,0,,America/New_York,,,0
799861,,,Sullivan Towers,,42.0945512097504,-71.0397064920654,863,,0,,America/New_York,,,0
