DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon
SA,798364,NA,546,906,7,60,60,60,480,1110,20,FALSE,FALSE,,,Lincoln Park,,42.6155158,-70.6739164
SA,798368,NA,553,975,12,38.36363636363637,178,118,480,1110,20,FALSE,FALSE,,,Magnolia Square,,42.5772319,-70.7146661
SA,798369,NA,510.60954681467456,1046,32,17.270659780171787,55,30.39045318532544,480,1110,20,FALSE,TRUE,,,Main St & Pleasant St,,42.612909,-70.6615456
SA,798372,NA,577,937,7,60,60,60,480,1110,20,FALSE,FALSE,,,Sheedy Park,,42.6164762668077,-70.6630988081787
SA,798374,NA,583,943,7,60,60,60,480,1110,20,FALSE,FALSE,,,McPherson Park,,42.614762904496,-70.6664177209412
SA,798375,NA,567,927,7,60,60,60,480,1110,20,FALSE,FALSE,,,Millpond Medical Building,,42.6282009,-70.6779186
SA,798376,NA,637,997,4,120,120,120,480,1110,20,FALSE,FALSE,,,Niles Beach,,42.5969526,-70.6537327
SA,798380,NA,477,957,5,120,120,120,480,1110,20,FALSE,FALSE,,,Pigeon Cove Post Office,,42.676514,-70.624529
SA,798381,NA,571,931,7,60,60,60,480,1110,20,FALSE,FALSE,,,Poplar Park,,42.6245296,-70.6697089
SA,798382,NA,584,944,7,60,60,60,480,1110,20,FALSE,FALSE,,,Post Office - City Hall,,42.6140742,-70.6632582
SA,798386,NA,561,981,4,140,180,168,480,1110,20,FALSE,FALSE,,,Ravenswood Park,,42.5944782,-70.6890026
SA,798387,NA,470,1074,35,17.764705882352942,57,47,480,1110,20,FALSE,TRUE,,,Rockport Market,,42.65695599,-70.61834408
SA,798388,NA,474,1071,10,66.33333333333333,117,117,480,1110,20,FALSE,FALSE,,,Train Station - Rockport,,42.6562961,-70.6260404
SA,798390,NA,590,950,7,60,60,60,480,1110,20,FALSE,FALSE,,,Senior Center - Dunkin' Donuts,,42.613531,-70.659259
SA,798395,NA,547,983,8,62.285714285714285,164,128,480,1110,20,FALSE,FALSE,,,Western Ave & Stage Fort Park,,42.6084293,-70.6781411
SA,798400,NA,471,1021.2070992178002,14,42.323623016753864,70.20709921780019,60,480,1110,20,FALSE,FALSE,,,Toad Hall Bookstore,,42.6583104,-70.6193554
SA,798414,NA,578,1011,8,61.857142857142854,167,131,480,1110,20,FALSE,FALSE,,,Train Station - West Gloucester,,42.61159669,-70.70503616
SA,798415,NA,573.0879703539171,993.0879703539171,4,140,180,168,480,1110,20,FALSE,FALSE,,,Western Ave & Centennial Ave,,42.6101892,-70.6725996
SA,798417,NA,559,979,4,140,180,168,480,1110,20,FALSE,FALSE,,,Western Ave & Magnolia Ave,,42.5852725,-70.7167935
SA,801985,NA,651,1011,4,120,120,120,480,1110,20,FALSE,FALSE,,,Cape Hedge Inn,,42.64096276,-70.60067876
SA,801986,NA,518,1030,26,20.48,33,32,480,1110,20,FALSE,FALSE,,,Stop & Shop - CVS,,42.61859043,-70.6424938
SA,801990,NA,520,1027,17,31.6875,60,33,480,1110,20,FALSE,FALSE,,,Shaw's Supermarket,,42.62291714,-70.64021734
SA,802509,NA,573,1053,5,120,120,120,480,1110,20,FALSE,FALSE,,,Addison Gilbert Hospital,,42.62598563,-70.67980067
SA,802510,NA,579,1059,5,120,120,120,480,1110,20,FALSE,FALSE,,,Annisquam Village Church,,42.6615894,-70.6709644
SA,802517,NA,582,1062,5,120,120,120,480,1110,20,FALSE,FALSE,,,Lanesville Post Office,,42.677583,-70.658737
SA,802518,NA,588,1068,5,120,120,120,480,1110,20,FALSE,FALSE,,,Pigeon Cove Post Office,,42.6765189,-70.6243815
SA,807762,NA,635,995,4,120,120,120,480,1110,20,FALSE,FALSE,,,East Main St & Rocky Neck Ave,,42.6035311,-70.6546882
SA,807764,NA,546,1026,5,120,120,120,480,1110,20,FALSE,FALSE,,,Atlantic St & Moorland Rds,,42.6102086,-70.6341039
SA,807765,NA,549,1029,5,120,120,120,480,1110,20,FALSE,FALSE,,,Niles Beach,,42.59705622,-70.65368713
SA,807773,NA,544.3288717431635,1025,5,120.16778206420912,120.67112825683648,120.46978977978554,480,1110,20,FALSE,FALSE,,,Good Harbor Beach Footbridge,,42.617633,-70.636018000000007
SA,807832,NA,465,975,9,63.75,150,129,480,1110,20,FALSE,FALSE,,,Bridge St - Variety Store,,42.55718938,-70.90931172
SA,807834,NA,480,985,9,63.125,85,67.5,480,1110,20,FALSE,FALSE,,,Beverly City Hall,,42.547765,-70.878915
SA,807835,NA,484.1175126121621,724.117512612162,3,119.99999999999997,120.00000000000006,120.00000000000004,480,1110,20,FALSE,FALSE,,,Cabot St & Elliot St,,42.55342289,-70.87855881
SA,807836,NA,844,988,2,144,144,144,480,1110,20,FALSE,FALSE,,,Cabot St & Rantoul St St,,42.5575768,-70.87930157
SA,807838,NA,495,1010,10,57.22222222222222,115,98.99999999999999,480,1110,20,FALSE,FALSE,,,Beverly Hospital,,42.56409,-70.874807
SA,807841,NA,470,1040,10,63.333333333333336,85,68.99999999999999,480,1110,20,FALSE,FALSE,,,Commuter Rail Station - Beverly,,42.54722244,-70.88525295
SA,807842,NA,473.103999172434,984,5,127.7240002068915,150,141.26880024826986,480,1110,20,FALSE,FALSE,,,Rantoul St & Edwards St,,42.5444147,-70.88505257
SA,807843,NA,477.2557976325576,984.6020588691822,5,126.83656530915616,146.98970565408933,138.99976063262318,480,1110,20,FALSE,FALSE,,,Cabot St & Highland Ave,,42.54504679,-70.88059742
SA,807846,NA,510,870,4,120,120,120,480,1110,20,FALSE,FALSE,,,Balch St Apartments,,42.56358294,-70.88879289
SA,807847,NA,523.0583097916146,523.0583097916146,1,NA,-Inf,NA,480,1110,20,FALSE,NA,,,Essex St - Kelleher Apartments,,42.565066,-70.864639
SA,807848,NA,525,1015,5,122.5,130,127,480,1110,20,FALSE,FALSE,,,Turtle Creek Apartments,,42.5707933241279,-70.8555156971967
SA,807849,NA,523.3980324747375,1012,5,122.15049188131562,130,127,480,1110,20,FALSE,FALSE,,,YMCA,,42.5663632267737,-70.861930167984
