stop_id,passing_values,frequent_stop,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon
798353,0,FALSE,,,Commuter Rail Station - Gloucester,,42.61657151,-70.66754752
798354,0,FALSE,,,Good Harbor Beach,,42.6225644,-70.63198094
798355,0,FALSE,,,Hammond Castle,,42.5856884,-70.6931195
798356,0,FALSE,,,Heights at Cape Ann,,42.6139683,-70.6886748
798358,0,FALSE,,,Lanesville Post Office,,42.67765898,-70.65877859
798359,0,FALSE,,,Langsford St & Andrews St,,42.6790399,-70.6572422
798360,0,FALSE,,,Langsford St & Norseman Ave,,42.68022173,-70.65243531
798361,0,FALSE,,,Langsford St & Rockwood Ln,,42.6812927,-70.64905358
798362,0,FALSE,,,Lexington Ave & Flume Rd,,42.5760471005007,-70.7123213362457
798364,0,FALSE,,,Lincoln Park,,42.6155158,-70.6739164
798365,0,FALSE,,,Long Beach Dairy Maid,,42.6252937888418,-70.6250710379177
798366,0,FALSE,,,Magnolia Ave & Carrie Ln,,42.6055953,-70.7101953
798367,0,FALSE,,,Magnolia Ave & Westbrook Ln,,42.5900062,-70.7192538
798368,0,FALSE,,,Magnolia Square,,42.5772319,-70.7146661
798369,1,FALSE,,,Main St & Pleasant St,,42.612909,-70.6615456
798370,0,FALSE,,,Maplewood Ave & Cleveland St,,42.61880092,-70.66728517
798372,0,FALSE,,,Sheedy Park,,42.6164762668077,-70.6630988081787
798373,0,FALSE,,,McDonalds,,42.6176742,-70.6657687
798374,0,FALSE,,,McPherson Park,,42.614762904496,-70.6664177209412
798375,0,FALSE,,,Millpond Medical Building,,42.6282009,-70.6779186
798376,0,FALSE,,,Niles Beach,,42.5969526,-70.6537327
798380,0,FALSE,,,Pigeon Cove Post Office,,42.676514,-70.624529
798381,0,FALSE,,,Poplar Park,,42.6245296,-70.6697089
798382,0,FALSE,,,Post Office - City Hall,,42.6140742,-70.6632582
798386,0,FALSE,,,Ravenswood Park,,42.5944782,-70.6890026
798387,1,FALSE,,,Rockport Market,,42.65695599,-70.61834408
798388,0,FALSE,,,Train Station - Rockport,,42.6562961,-70.6260404
798389,0,FALSE,,,Sayward St & Bass Ave,,42.6163667,-70.6453255
798390,0,FALSE,,,Senior Center - Dunkin' Donuts,,42.613531,-70.659259
798393,0,FALSE,,,South St & Eden Rd,,42.6478825,-70.5986306
798394,0,FALSE,,,South St & Jerdens Ln,,42.6547325,-70.6073777
798395,0,FALSE,,,Western Ave & Stage Fort Park,,42.6084293,-70.6781411
798398,0,FALSE,,,Thatcher Rd & Marina Dr,,42.6204608,-70.6395751
798399,0,FALSE,,,Thatcher Rd & Witham St,,42.6234904,-70.6292851
798400,0,FALSE,,,Toad Hall Bookstore,,42.6583104,-70.6193554
798401,0,FALSE,,,Washington St & Colburn St,,42.6681263,-70.6667229
798402,0,FALSE,,,Washington St & Dennison St,,42.65122809,-70.67230463
798404,0,FALSE,,,Washington St & Hodgkins St,,42.632914,-70.6775091
798405,0,FALSE,,,Washington St & Poplar St,,42.6231286,-70.6767555
798407,0,FALSE,,,Washington St & Revere St,,42.6622275,-70.6703286
798408,0,FALSE,,,Washington St & Stanwood St,,42.6409465,-70.6721441
798409,0,FALSE,,,Washington St & Wheeler St,,42.6284091,-70.6798938
798410,0,FALSE,,,Washington St & Woodbury St,,42.6826589,-70.6449623
798414,0,FALSE,,,Train Station - West Gloucester,,42.61159669,-70.70503616
798415,0,FALSE,,,Western Ave & Centennial Ave,,42.6101892,-70.6725996
798416,0,FALSE,,,Western Ave & Hesperus Ave,,42.5939625,-70.6896247
798417,0,FALSE,,,Western Ave & Magnolia Ave,,42.5852725,-70.7167935
798421,0,FALSE,,,Willow Rest,,42.642036,-70.670898
801975,0,FALSE,,,Atlantic St & Beach Rds,,42.61639168,-70.63766883
801976,0,FALSE,,,Atlantic St & Grapevine Rds,,42.597218,-70.640412
801977,0,FALSE,,,Atlantic St & High Popples Rds,,42.6001663,-70.6361352
801978,0,FALSE,,,Thatcher Rd & Barn Ln at Vista Hotel,,42.6218597,-70.6386609
