DOW,stop_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,stop_name,stop_desc,platform_code,stop_lat,stop_lon
SA,102,295,1516,114,10.805309734513274,20,14,480,1110,20,TRUE,TRUE,102,Massachusetts Ave @ Prospect St,,,42.365291,-71.103404
SA,1026,333,1479,50,23.387755102040817,61,40,480,1110,20,TRUE,FALSE,1026,Chestnut Hill Ave @ Veronica Smith Ctr,,,42.348296,-71.153761
SA,1027,331,1476,38,30.945945945945947,60,41.99999999999999,480,1110,20,TRUE,FALSE,1027,Chestnut Hill Ave @ Englewood Ave,,,42.337121,-71.152079
SA,1029,331,1476,38,30.945945945945947,60,41.99999999999999,480,1110,20,TRUE,FALSE,1029,Chestnut Hill Ave @ Commonwealth Ave,,,42.338312,-71.153451
SA,1030,331,1477,38,30.972972972972972,61,41.99999999999999,480,1110,20,TRUE,FALSE,1030,Chestnut Hill Ave @ Strathmore Rd,,,42.340595,-71.155037
SA,1033,332,1478,38,30.972972972972972,61,41.599999999999994,480,1110,20,TRUE,FALSE,1033,Chestnut Hill Ave @ Wallingford Rd,,,42.344607,-71.15322
SA,1034,333,1478,38,30.945945945945947,60,41.599999999999994,480,1110,20,TRUE,FALSE,1034,Chestnut Hill Ave @ Union St,,,42.346123,-71.152997
SA,1035,333,1479,38,30.972972972972972,61,41.599999999999994,480,1110,20,TRUE,FALSE,1035,Market St @ Washington St,,,42.349261,-71.153309
SA,1036,334,1480,38,30.972972972972972,61,41.599999999999994,480,1110,20,TRUE,FALSE,1036,Market St @ Sparhawk St,,,42.351738,-71.151763
SA,1038,334,1480,38,30.972972972972972,62,41.599999999999994,480,1110,20,TRUE,FALSE,1038,Market St @ Morrow Rd,,,42.35403,-71.150376
SA,1039,335,1481,38,30.972972972972972,62,41.599999999999994,480,1110,20,TRUE,FALSE,1039,Market St @ N Beacon St,,,42.355569,-71.149366
SA,104,296,1517,114,10.805309734513274,20,14,480,1110,20,TRUE,TRUE,104,Massachusetts Ave @ Bigelow St,,,42.366779,-71.105813
SA,1040,335,1485,56,20.90909090909091,46,31.800000000000004,480,1110,20,TRUE,FALSE,1040,Market St @ Guest St,,,42.357313,-71.148285
SA,1041,335,1481,38,30.972972972972972,63,41.599999999999994,480,1110,20,TRUE,FALSE,1041,Market St @ Centola St,,,42.359279,-71.147082
SA,10413,327,1496,136,8.65925925925926,20,13,480,1110,20,TRUE,TRUE,10413,Columbus Ave @ Weld Ave,,,42.314898,-71.097377
