"stop_id","stop_lat","stop_lon"
"1",42.330957,-71.082754
"10",42.330555,-71.068787
"10000",42.355692,-71.062911
"10003",42.331591,-71.076237
"10005",42.335017,-71.07128
"10006",42.335814,-71.070135
"10007",42.338372,-71.066556
"10008",42.339915,-71.064356
"10009",42.214986,-70.915924
"10010",42.330944,-71.064621
"10011",42.340162,-71.064227
"10012",42.338361,-71.066667
"10013",42.337556,-71.067875
"10014",42.334117,-71.07251
"10015",42.337402,-71.072162
"10031",42.338307,-71.027132
"10032",42.338274,-71.029203
"10033",42.338176,-71.029444
"101",42.362988,-71.099486
"10100",42.331675,-71.076347
"10101",42.332066,-71.079147
"102",42.365291,-71.103404
"1026",42.348296,-71.153761
"1027",42.337121,-71.152079
"1029",42.338312,-71.153451
"1030",42.340595,-71.155037
"1033",42.344607,-71.15322
"1034",42.346123,-71.152997
"1035",42.349261,-71.153309
"1036",42.351738,-71.151763
"1038",42.35403,-71.150376
"1039",42.355569,-71.149366
"104",42.366779,-71.105813
"1040",42.357313,-71.148285
"1041",42.359279,-71.147082
"10413",42.314898,-71.097377
"10417",42.298267,-71.087238
"10418",42.295828,-71.092507
"10419",42.285933,-71.109847
"1042",42.360459,-71.146341
"10421",42.28745,-71.10739
"10422",42.284762,-71.111695
"10423",42.280752,-71.116254
"10424",42.278467,-71.116716
"10425",42.274382,-71.116781
"10427",42.293255,-71.094593
"1043",42.361668,-71.144413
"1045",42.362164,-71.141783
"1046",42.362531,-71.139786
"1049",42.363093,-71.135443
"1051",42.363248,-71.128518
"1052",42.363526,-71.125043
"10522",42.305104,-71.094684
"1053",42.363915,-71.119805
"10540",42.280886,-71.084654
"1055",42.361913,-71.114378
"1056",42.362565,-71.112387
"10569",42.276285,-71.067029
"1057",42.363156,-71.110605
"1058",42.36385,-71.108586
"10582",42.269983,-71.089868
"1059",42.365072,-71.105142
"10590",42.336621,-71.076956
"106",42.36839,-71.108618
"1060",42.365114,-71.104311
"10603",42.282287,-71.132671
"1061",42.364952,-71.108901
"10612",42.26792,-71.149996
"10618",42.256411,-71.163235
"1062",42.364798,-71.110649
"10625",42.26883,-71.148551
"10633",42.282087,-71.132727
"1064",42.364492,-71.114114
"10642",42.299936,-71.114324
"1067",42.364074,-71.119704
"1068",42.363686,-71.124387
"107",42.369265,-71.110773
"1070",42.363284,-71.129148
"1071",42.363253,-71.132079
"1072",42.363179,-71.135542
"1074",42.362807,-71.138519
"1075",42.362662,-71.139575
"1076",42.362341,-71.14136
"10768",42.268863,-71.161907
"10769",42.268891,-71.161806
"1077",42.361858,-71.144012
"10777",42.27717,-71.164194
"1079",42.357084,-71.148576
"108",42.37027,-71.112998
"1080",42.355813,-71.14937
"1081",42.353716,-71.150702
"10820",42.275343,-71.171831
"1083",42.35151,-71.152061
"10833",42.258725,-71.16853
"10835",42.253283,-71.170494
"1084",42.349027,-71.153531
"1085",42.347089,-71.15375
"1086",42.344534,-71.153418
"1088",42.341436,-71.154691
"1089",42.340595,-71.155272
"109",42.372099,-71.115371
