stop_id,stop_lat,stop_lon
2066,42.375348,-71.142971
2067,42.374897,-71.13997
2068,42.374987,-71.136551
2070,42.374842,-71.133786
2071,42.374625,-71.130712
2073,42.373956,-71.124752
2074,42.373051,-71.122407
21148,42.331345,-71.093318
21151,42.327349,-71.083021
21317,42.334833,-71.102701
21365,42.331803,-71.112061
2159,42.382321,-71.130977
2160,42.381137,-71.128988
2161,42.380287,-71.12742
2162,42.379428,-71.125867
2163,42.378371,-71.123878
2168,42.375131,-71.118511
2170,42.376891,-71.122342
2172,42.37874,-71.124379
2173,42.379397,-71.125597
2174,42.380377,-71.127371
2175,42.381103,-71.128718
2176,42.382317,-71.130813
22365,42.329368,-71.111046
2250,42.424123,-71.17941
2251,42.42357,-71.176264
2252,42.421782,-71.172697
2254,42.420179,-71.169748
22549,42.375302,-71.119237
2255,42.418877,-71.167126
2256,42.417292,-71.163646
2257,42.416745,-71.160538
2258,42.41619,-71.156708
2259,42.415822,-71.154499
2260,42.414283,-71.15107
2261,42.41313,-71.149683
2262,42.411492,-71.14848
2263,42.409538,-71.147239
2264,42.407678,-71.144812
2265,42.405583,-71.142118
2266,42.404033,-71.140245
22661,42.402756,-71.138646
22671,42.401638,-71.137324
2268,42.400467,-71.135318
2269,42.399436,-71.133125
2270,42.397954,-71.13112
2271,42.397954,-71.130684
2273,42.399844,-71.133258
2274,42.400762,-71.13535
2275,42.402768,-71.138361
22751,42.401469,-71.136788
2276,42.404463,-71.14048
2277,42.406066,-71.142554
2278,42.408008,-71.145042
2279,42.409321,-71.146681
2280,42.41151,-71.14824
2281,42.413326,-71.149407
22818,42.246477,-71.128705
22819,42.248475,-71.127058
2282,42.414833,-71.151369
22821,42.244494,-71.129662
2283,42.415673,-71.153427
2284,42.416337,-71.156865
2285,42.416736,-71.159705
2286,42.417833,-71.164714
2287,42.418987,-71.167129
2288,42.420463,-71.169933
2290,42.422001,-71.172726
2291,42.423592,-71.17585
2292,42.424217,-71.179491
2293,42.424328,-71.182803
2296,42.39586,-71.128749
2297,42.394341,-71.127033
2298,42.392667,-71.125201
2299,42.391164,-71.123209
2300,42.389913,-71.12071
2304,42.384515,-71.119594
2305,42.38164,-71.119935
2307,42.37781,-71.120289
2310,42.377805,-71.119941
2312,42.381631,-71.119571
2314,42.384891,-71.119263
23151,42.388034,-71.119253
2316,42.389308,-71.119806
2318,42.391505,-71.123235
2319,42.392855,-71.124913
2320,42.394514,-71.126799
2321,42.396361,-71.12889
247,42.346634,-71.035301
2550,42.371324,-71.12127
2551,42.366948,-71.125108
2553,42.363657,-71.129248
2554,42.361884,-71.130488
2555,42.360395,-71.129009
2556,42.358742,-71.127014
2558,42.35853,-71.126738
2559,42.36019,-71.128574
2560,42.361892,-71.130333
2561,42.363592,-71.129142
2564,42.36708,-71.124824
25641,42.371486,-71.120947
2575,42.405069,-71.130239
2576,42.404014,-71.128798
2577,42.403329,-71.12751
2579,42.400866,-71.126139
2580,42.399341,-71.124909
2581,42.39693,-71.122971
2582,42.395078,-71.1218
2600,42.37687,-71.08847
2601,42.373888,-71.082777
2605,42.374126,-71.082561
2607,42.377092,-71.088178
2628,42.396024,-71.120198
2631,42.399328,-71.124718
2632,42.401253,-71.126187
2634,42.403375,-71.127338
2635,42.403963,-71.128532
2636,42.405932,-71.131478
2637,42.405907,-71.13207
26466,42.251726,-71.125372
26467,42.2417,-71.130635
26495,42.292513,-71.117909
27092,42.3621,-71.01882
2714,42.386049,-71.078666
2715,42.405242,-71.130298
2718,42.38686,-71.080685
2719,42.387399,-71.0825
2720,42.388006,-71.084232
2818,42.252059,-71.125337
2819,42.254741,-71.124397
2829,42.365749,-71.058505
2832,42.364582,-71.058203
2904,42.303376,-71.083527
2910,42.317228,-71.065045
2922,42.301806,-71.086667
2923,42.302767,-71.084486
2924,42.304183,-71.082124
2925,42.305402,-71.080253
2926,42.306567,-71.077044
2928,42.307551,-71.075758
2929,42.309061,-71.073733
2930,42.310128,-71.072044
2931,42.31118,-71.070077
2932,42.312835,-71.068184
2933,42.317122,-71.064572
2934,42.318702,-71.063102
3,42.333021,-71.080799
30249,42.34508,-71.031986
30250,42.344649,-71.030268
31317,42.335831,-71.099868
31365,42.326625,-71.111437
31391,42.341443,-71.086788
32,42.337629,-71.025051
32549,42.372535,-71.121784
32818,42.241728,-71.130753
33,42.338524,-71.031899
34,42.337528,-71.027304
35,42.335837,-71.027246
35751,42.396041,-71.028178
362,42.318836,-71.063644
36466,42.254919,-71.124162
36479,42.289719,-71.118046
36495,42.290215,-71.118265
36538,42.343485,-71.064079
36541,42.343942,-71.065731
367,42.286785,-71.064648
369,42.289135,-71.067039
371,42.29017,-71.070633
381,42.298519,-71.086576
382,42.300527,-71.085882
383,42.302768,-71.085185
384,42.305939,-71.08439
385,42.307446,-71.08374
386,42.310509,-71.083162
387,42.31207,-71.082867
388,42.313452,-71.08356
390,42.316257,-71.082891
392,42.318157,-71.081788
393,42.319956,-71.08138
394,42.321585,-71.081813
395,42.323909,-71.082602
396,42.325734,-71.083235
4,42.335164,-71.078518
40001,42.325622,-71.083517
401,42.323923,-71.082883
404,42.321536,-71.082102
405,42.319932,-71.081628
406,42.318133,-71.08212
407,42.316227,-71.083032
410,42.313262,-71.083653
411,42.311705,-71.082984
412,42.310421,-71.083262
413,42.306888,-71.08442
41391,42.340553,-71.088908
414,42.305649,-71.084754
415,42.303293,-71.08537
416,42.301448,-71.085964
417,42.297749,-71.087228
419,42.295595,-71.087913
420,42.294216,-71.085853
421,42.293177,-71.082315
422,42.292446,-71.079788
423,42.291903,-71.077992
424,42.290919,-71.074625
425,42.290184,-71.072141
426,42.289943,-71.069975
