stop_id,passing_values,frequent_stop,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4abd44aa-df5f-4d82-a1bd-f5b3b82b9a6d,1,FALSE,PING1,Wellesley Office Park,,42.3270337180515,-71.2531321497638
4c2e7f99-08ae-4d04-b1d1-8ee2f68866ad,0,FALSE,N33,Kansas St & Route 27,,42.29151,-71.3564
4c62b8c3-5378-4ef4-9706-87e30e2c1708,1,FALSE,W4,Newton-Wellesley Hospital,,42.3324356873295,-71.2464091924673
4ef1e39b-96d3-402b-8f82-bcda377125be,0,FALSE,MF11,Milford Senior Center,,42.1408454859761,-71.5154817113567
50f02614-d7ed-4faa-b21f-27c8d21dab28,1,FALSE,MB9,Broad St / Lincoln St,,42.343861898414,-71.5629380382858
517a9cbd-8ef2-4b39-ae46-f018cb8a8bc6,0,FALSE,MF8,Maher Court,,42.1475630788543,-71.5117319829304
58f9b39e-73ae-48fb-9178-5c69de45b399,0,FALSE,MF15,Milford Regional Medical Center,,42.1326982756077,-71.5288431363608
5b5eba65-15c5-4fef-b902-1e297ba4d8e0,0,FALSE,F26,Kohls,,42.302967596231,-71.3972029922726
5bc0337e-0145-41d3-b825-4285af3fbda0,1,FALSE,F22,Super Stop and Shop,,42.30596451,-71.40172177
5e463b38-2425-4526-a4ab-a4e8f745a4ad,2,FALSE,W18,MassBay Community College,,42.311931539293,-71.2629611052848
5ec0f6f9-8492-4516-bb0e-cbc6b5313d1c,0,FALSE,F67,BJs Wholesale Club ,,42.3069573823784,-71.399089926427
6250e0b1-76d5-4a93-9725-ae0d594d6910,3,FALSE,N21,Natick Mall - Wegmans,Natick Mall- Wegmans,42.3014669001977,-71.3863507739515
651767dd-06d3-418b-be32-ee1befeff801,1,FALSE,F11,Framingham State University,,42.29773,-71.43723
653a7026-997d-4f7c-948b-4d4a655599a0,1,FALSE,MF26,Spruce St,,42.1422067071323,-71.5193333637317
6b60b122-63e6-446b-91aa-a6068aba603f,0,FALSE,MB20,Apex Entertainment,,42.3376391731286,-71.5916028077366
6e32ef0c-ef95-4d54-bfab-4fde5006304a,1,FALSE,F55,New York Ave,,42.2998401403332,-71.488204985154
6f5c1a02-d531-4ea0-87a5-a18cca2a7605,1,FALSE,HP6,PriceChopper Hopkinton,,42.2096039181712,-71.5515976578949
72270960-236c-4e3c-b7fe-63d97deaca92,0,FALSE,H1,Hudson WalMart,Hudson Walmart,42.3749929592009,-71.5590904092246
72eeb424-870f-4754-ab60-975e5776f34d,1,FALSE,MB1,Marlborough City Hall,,42.3468726782127,-71.5458376136921
73a8ce41-f167-402d-880d-7902aa6f4bad,1,FALSE,N23,Sherwood Village on Mill St.,,42.2884407513404,-71.3836390604758
743e3da4-73f1-4dc4-b3f5-96fb2ec75deb,0,FALSE,MF19,Colonial Rd Capital Rd Housing,,42.1568931434687,-71.5370667896906
76b2f346-87aa-4f7c-b669-bed0672dee06,1,FALSE,W1,Oak St,,42.3036113264329,-71.3319703240377
77f43449-c9d4-441a-abf1-6d885a14f6f6,1,FALSE,F54,Franklin / Mt. Wayte,,42.2900634878912,-71.4286653058926
7c48755d-4bee-4a8d-b4f4-364c172a30e7,0,FALSE,F30,Lincoln St & Pearl St,,42.282087,-71.416022
7ca11456-969c-43d0-a3e6-d0b6dcd50a10,0,FALSE,F66,Tarelli Ter/Waverly St,,42.2798053789023,-71.4031118990846
7e3c3f82-c136-40a4-aea1-d2303c9690dd,1,FALSE,W5,Woodland MBTA Train Station,,42.3331813414801,-71.2431033696594
7f81b88d-02a0-463a-be76-ae4e76d91da1,1,FALSE,F14,Staples Drive,,42.2910773629592,-71.4883565299724
800f4da6-9579-4f8b-8578-e950905f3053,0,FALSE,N36,Math Works,,42.300620663203,-71.3502348274132
81058253-713e-4d79-bba8-b8f8b1abcd39,1,FALSE,MF6,Milford Crossing,,42.1499207407189,-71.4883605532861
82afee5a-a373-4673-b9d0-cab9c40edce6,0,FALSE,F04,Bethany Hill,,42.268521,-71.432618
82e716bb-1434-4367-87eb-181ea29743e5,1,FALSE,N29,Cedar Terrace,,42.2729281945782,-71.3556958052931
861050c3-7b47-4045-bd18-cd9ad9f9fa84,1,FALSE,Ne2,Riverside Station,,42.3370410404826,-71.251776293026
881ad83b-9563-4ae5-8569-032768b27578,0,FALSE,MB18,Hannafords Plaza Marlborough,,42.3397460484353,-71.5916001255274
8836b64d-6492-4cad-aee4-dff14001f563,1,FALSE,F68,Memorial House (Winthrop & Hollis),,42.2700689595979,-71.4199789714801
8caf7e5e-b0c7-4529-93bf-63ae813100fb,0,FALSE,H8,Highland Common- Market Basket,,42.3966625271238,-71.5951151606509
8ce8dafa-ec6e-4f35-a576-d5c1d552ba09,0,FALSE,H6,Simrah Gardens,,42.4000957548676,-71.5975546298954
8ff6b02f-424d-47ac-bebe-221ff72ad6fe,0,FALSE,F53,Nobscot Shopping Center,,42.3286859589032,-71.4342644175449
903773a0-1314-460e-9810-3c22b164c812,1,FALSE,F36,Crossing Blvd,,42.294937,-71.490253
90c30055-3955-4685-b93c-1fef3ba34a72,1,FALSE,F13,California Ave,,42.2985312222559,-71.4826648821035
90d27be8-691d-4ea4-adcc-00cbb1d5812e,0,FALSE,MF5,Milford Library,Milfrod Library,42.1440037872794,-71.5231152786681
93c3d7b0-42dc-4d48-9737-1981aa9ab961,0,FALSE,H2,Hudson Stop and Shop,,42.3780909107978,-71.5633376874529
971b9fce-55fe-420c-8e6a-550961919153,1,FALSE,F15,MetroWest Medical Center,,42.28438494,-71.42004284
973e7245-055e-4757-a16e-259d6e4c6d02,0,FALSE,MB14,Post Road Shopping Center,,42.3517931909438,-71.5359979293345
