"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","platform_code","stop_name","stop_desc","geometry"
"37","SA","798354",NA,645,1005,4,120,120,120,480,1110,20,FALSE,FALSE,"","","Good Harbor Beach","",c(271208.971185068, 930583.671432016)
"38","SA","798355",NA,550,970,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Hammond Castle","",c(266232.302047607, 926438.283193685)
"39","SA","798356",NA,576,996,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Heights at Cape Ann","",c(266567.251108086, 929583.037804712)
"40","SA","798358",NA,483,963,5,120,120,120,480,1110,20,FALSE,FALSE,"","","Lanesville Post Office","",c(268950.307881933, 936681.550842779)
"41","SA","798362",NA,554.266128775788,974,4,139.911290408071,168,145.654673376785,480,1110,20,FALSE,FALSE,"","","Lexington Ave & Flume Rd","",c(264666.066214476, 925352.610815703)
"42","SA","798364",NA,546,906,7,60,60,60,480,1110,20,FALSE,FALSE,"","","Lincoln Park","",c(267776.439425483, 929766.555129744)
"43","SA","798368",NA,553,975,12,38.3636363636364,118,141.109004739336,480,1110,20,FALSE,FALSE,"","","Magnolia Square","",c(264472.361813241, 925482.441246179)
"44","SA","798369",NA,510.609546814675,1046,32,17.2706597801718,30.3904531853254,28.982756314862,480,1110,20,FALSE,FALSE,"","","Main St & Pleasant St","",c(268794.221858293, 929486.898360733)
"45","SA","798372",NA,577,937,7,60,60,60,480,1110,20,FALSE,FALSE,"","","Sheedy Park","",c(268662.899001386, 929881.894680944)
"46","SA","798374",NA,583,943,7,60,60,60,480,1110,20,FALSE,FALSE,"","","McPherson Park","",c(268392.470110747, 929688.909836669)
"47","SA","798375",NA,567,927,7,60,60,60,480,1110,20,FALSE,FALSE,"","","Millpond Medical Building","",c(267434.506295648, 931172.434367304)
"48","SA","798376",NA,637,997,4,120,120,120,480,1110,20,FALSE,FALSE,"","","Niles Beach","",c(269452.826021703, 927720.817715765)
"49","SA","798380",NA,477,957,5,120,120,120,480,1110,20,FALSE,FALSE,"","","Pigeon Cove Post Office","",c(271758.767847069, 936582.615655022)
"50","SA","798381",NA,571,931,7,60,60,60,480,1110,20,FALSE,FALSE,"","","Poplar Park","",c(268111.888321376, 930771.15179848)
"51","SA","798382",NA,584,944,7,60,60,60,480,1110,20,FALSE,FALSE,"","","Post Office - City Hall","",c(268652.439783571, 929614.947525227)
"52","SA","798386",NA,561,981,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Ravenswood Park","",c(266560.941647282, 927417.844667197)
"53","SA","798387",NA,470,1074,35,17.7647058823529,47,41.1490066225166,480,1110,20,FALSE,FALSE,"","","Rockport Market","",c(272288.159118224, 934415.332700685)
"54","SA","798388",NA,474,1071,10,66.3333333333333,117,114.708542713568,480,1110,20,FALSE,FALSE,"","","Train Station - Rockport","",c(271657.900708552, 934335.538111647)
"55","SA","798390",NA,590,950,7,60,60,60,480,1110,20,FALSE,FALSE,"","","Senior Center - Dunkin' Donuts","",c(268981.147663871, 929557.836078666)
"56","SA","798395",NA,547,983,8,62.2857142857143,128,113.651376146789,480,1110,20,FALSE,FALSE,"","","Western Ave & Stage Fort Park","",c(267437.417392921, 928976.045814742)
"57","SA","798400",NA,471,1021.2070992178,14,42.3236230167539,60,53.912623435322,480,1110,20,FALSE,FALSE,"","","Toad Hall Bookstore","",c(272203.68921327, 934564.923611441)
"58","SA","798414",NA,578,1011,8,61.8571428571429,131,118.852193995381,480,1110,20,FALSE,FALSE,"","","Train Station - West Gloucester","",c(265227.336066823, 929306.96092827)
"59","SA","798415",NA,573.087970353917,993.087970353917,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Western Ave & Centennial Ave","",c(267890.213158359, 929175.929405418)
"60","SA","798417",NA,559,979,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Western Ave & Magnolia Ave","",c(264289.515600244, 926373.97245043)
"61","SA","801985",NA,651,1011,4,120,120,120,480,1110,20,FALSE,FALSE,"","","Cape Hedge Inn","",c(273755.24084458, 932653.939047135)
"62","SA","801986",NA,518,1030,26,20.48,32,25.67578125,480,1110,20,FALSE,FALSE,"","","Stop & Shop - CVS","",c(270351.003416207, 930133.524244111)
"63","SA","801990",NA,520,1027,17,31.6875,33,33.6390532544379,480,1110,20,FALSE,FALSE,"","","Shaw's Supermarket","",c(270532.916387927, 930616.009877154)
"64","SA","802509",NA,573,1053,5,120,120,120,480,1110,20,FALSE,FALSE,"","","Addison Gilbert Hospital","",c(267282.4930311, 930924.877091473)
"65","SA","802510",NA,579,1059,5,120,120,120,480,1110,20,FALSE,FALSE,"","","Annisquam Village Church","",c(267968.885606864, 934886.749241509)
"66","SA","802517",NA,582,1062,5,120,120,120,480,1110,20,FALSE,FALSE,"","","Lanesville Post Office","",c(268953.799920323, 936673.144531989)
"67","SA","802518",NA,588,1068,5,120,120,120,480,1110,20,FALSE,FALSE,"","","Pigeon Cove Post Office","",c(271770.85180483, 936583.284050211)
"68","SA","807762",NA,635,995,4,120,120,120,480,1110,20,FALSE,FALSE,"","","East Main St & Rocky Neck Ave","",c(269367.169082484, 928450.768446316)
"69","SA","807764",NA,546,1026,5,120,120,120,480,1110,20,FALSE,FALSE,"","","Atlantic St & Moorland Rds","",c(271048.750904444, 929209.437217232)
"70","SA","807765",NA,549,1029,5,120,120,120,480,1110,20,FALSE,FALSE,"","","Niles Beach","",c(269456.451605115, 927732.364739022)
"71","SA","807773",NA,544.328871743164,1025,5,120.167782064209,120.469789779786,120.168484852109,480,1110,20,FALSE,FALSE,"","","Good Harbor Beach Footbridge","",c(270883.346248029, 930032.535572256)
"72","SA","807832",NA,465,975,9,63.75,129,128.823529411765,480,1110,20,FALSE,FALSE,"","","Bridge St - Variety Store","",c(248508.552040616, 923127.224802021)
"73","SA","807834",NA,480,985,9,63.125,67.5,64.2079207920792,480,1110,20,FALSE,FALSE,"","","Beverly City Hall","",c(251012.373789002, 922098.103569225)
"74","SA","807835",NA,484.117512612162,724.117512612162,3,120,120,120,480,1110,20,FALSE,FALSE,"","","Cabot St & Elliot St","",c(251037.049731243, 922726.790370599)
"75","SA","807836",NA,844,988,2,144,144,144,480,1110,20,FALSE,FALSE,"","","Cabot St & Rantoul St St","",c(250972.692457019, 923187.759741216)
"76","SA","807838",NA,495,1010,10,57.2222222222222,99,83.5436893203884,480,1110,20,FALSE,FALSE,"","","Beverly Hospital","",c(251336.483751084, 923913.938115473)
"77","SA","807841",NA,470,1040,10,63.3333333333333,69,64.5614035087719,480,1110,20,FALSE,FALSE,"","","Commuter Rail Station - Beverly","",c(250492.25420874, 922034.065321744)
"78","SA","807842",NA,473.103999172434,984,5,127.724000206892,141.26880024827,129.020080230274,480,1110,20,FALSE,FALSE,"","","Rantoul St & Edwards St","",c(250510.960704182, 921722.302781056)
"79","SA","807843",NA,477.255797632558,984.602058869182,5,126.836565309156,138.999760632623,127.904114010416,480,1110,20,FALSE,FALSE,"","","Cabot St & Highland Ave","",c(250876.384492537, 921795.162535735)
"80","SA","807846",NA,510,870,4,120,120,120,480,1110,20,FALSE,FALSE,"","","Balch St Apartments","",c(250188.483611134, 923849.290618681)
"81","SA","807847",NA,523.058309791615,523.058309791615,1,NA,NA,NA,480,1110,20,FALSE,NA,"","","Essex St - Kelleher Apartments","",c(252170.586018188, 924028.521187031)
"82","SA","807848",NA,525,1015,5,122.5,127,122.65306122449,480,1110,20,FALSE,FALSE,"","","Turtle Creek Apartments","",c(252914.894931918, 924670.329702647)
"83","SA","807849",NA,523.398032474738,1012,5,122.150491881316,127,122.320033715843,480,1110,20,FALSE,FALSE,"","","YMCA","",c(252391.930793524, 924174.276835631)
"84","SA","807850",NA,530,1025,5,123.75,130.5,124.090909090909,480,1110,20,FALSE,FALSE,"","","Cedar St Apartments","",c(251646.032131747, 922982.31869152)
