"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","platform_code","stop_name","stop_desc","geometry"
"33","SA","2735487",NA,470.65,1243.31666666667,14,59.4358974358974,60,59.5001438021283,480,1110,20,TRUE,FALSE,"","","Warren Ave and Calmar St","",c(239748.253213439, 868453.6186298)
"34","SA","2735488",NA,471.8,1244.76666666667,14,59.4589743589744,60,59.5180487874998,480,1110,20,TRUE,FALSE,"","","Warren Ave and Tribou St","",c(239687.41331035, 868785.791660637)
"35","SA","2735489",NA,473.116666666667,1246.4,14,59.4833333333333,60,59.5371859531148,480,1110,20,TRUE,FALSE,"","","Warren Ave and Florence St","",c(239634.828140816, 869166.114202192)
"36","SA","2735490",NA,474.2,1247.75,14,59.5038461538462,60,59.5534904013962,480,1110,20,TRUE,FALSE,"","","Warren Ave and Dover St","",c(239592.533968416, 869479.986755872)
"37","SA","2735491",NA,475.133333333333,1248.93333333333,14,59.5230769230769,60,59.5689325407082,480,1110,20,TRUE,FALSE,"","","Warren Ave and West Park St","",c(239554.29583116, 869753.958753153)
"38","SA","2735492",NA,321.9,1336.9,42,24.7560975609756,50.7666666666667,34.8531932129173,480,1110,20,TRUE,FALSE,"","","Main St and Church St","",c(239735.581927024, 870462.750443405)
"39","SA","2738221",NA,466.166666666667,1237.71666666667,14,59.35,60,59.4354254422915,480,1110,20,TRUE,FALSE,"","","Main St and Brookside Ave","",c(240293.904124239, 867540.394399197)
"40","SA","2738222",NA,465.666666666667,1237.08333333333,14,59.3397435897436,60,59.4279014079435,480,1110,20,TRUE,FALSE,"","","Main St and Watson St","",c(240327.012733211, 867414.072148408)
"41","SA","2738223",NA,465.35,1236.7,14,59.3346153846154,60,59.4241557010436,480,1110,20,TRUE,FALSE,"","","Main St and Holmes St","",c(240357.558289213, 867319.328108443)
"42","SA","2738224",NA,467.866666666667,1239.83333333333,14,59.3820512820513,60,59.4592181585273,480,1110,20,TRUE,FALSE,"","","Main St and Clifton Ave - CVS","",c(240206.343363626, 867893.998621126)
"43","SA","2738225",NA,467.633333333333,1239.55,14,59.3782051282051,60,59.4563406383821,480,1110,20,TRUE,FALSE,"","","Main St - Teen Challenge","",c(240219.532986388, 867835.488347767)
"44","SA","2738226",NA,470.433333333333,1243.05,14,59.4320512820513,60,59.4971809363563,480,1110,20,TRUE,FALSE,"","","Main St and Calmar St","",c(240025.703175108, 868550.919444073)
"45","SA","2738227",NA,471.166666666667,1243.96666666667,14,59.4461538461538,60,59.5080745341615,480,1110,20,TRUE,FALSE,"","","Main St and Nilsson St","",c(239975.568828957, 868738.26137194)
"46","SA","2738228",NA,476.45,1250.56666666667,14,59.5474358974359,60,59.588710070977,480,1110,20,TRUE,FALSE,"","","Main St and Maple Ave","",c(239710.977734185, 870085.621193388)
"47","SA","2738280",NA,474.716666666667,1248.38333333333,14,59.5128205128205,60,59.5606778687348,480,1110,20,TRUE,FALSE,"","","Belmont St and New Arnone School","",c(239377.256177204, 870028.231441495)
"48","SA","2740072",NA,477.066666666667,1251.33333333333,14,59.5589743589744,60,59.5981631364445,480,1110,20,TRUE,FALSE,"","","Crescent St and Otis St","",c(240209.925748743, 870158.065304132)
"49","SA","2740073",NA,442.783333333333,1263.48333333333,15,58.6214285714286,60,59.0428780309492,480,1110,20,TRUE,FALSE,"","","Crescent St and Brockton Day Nursery","",c(240300.639860309, 870112.63014962)
"50","SA","2740074",NA,446.833333333333,1268.53333333333,15,58.6928571428571,60,59.0713033953998,480,1110,20,TRUE,FALSE,"","","Centre St and Hill St","",c(241414.661042363, 870605.580262351)
"51","SA","2740116",NA,473.733333333333,1247.16666666667,14,59.4948717948718,60,59.5463359623037,480,1110,20,TRUE,FALSE,"","","St Coleman's School","",c(240866.972350535, 870096.16252609)
"52","SA","2740154",NA,474.15,1251.23333333333,14,59.775641025641,60,59.785746201966,480,1110,20,TRUE,FALSE,"","","Jehovah's Witness Hall","",c(240977.951325403, 871995.968808626)
"53","SA","2740249",NA,390.85,1050.85,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"","","Park St and Belmont Ave","",c(233971.676050655, 874493.584091105)
"54","SA","2740250",NA,438.283333333333,1098.28333333333,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"","","Park St in front of Blue Hill Nursing Home","",c(235475.810250464, 873305.424927126)
"55","SA","2740251",NA,458.3,1118.3,11,66,66,70.9090909090909,480,1110,20,TRUE,FALSE,"","","Belair St and Oak St","",c(238116.821164146, 872374.7974101)
"56","SA","3880713",NA,366.733333333333,1276.85,26,36.4046666666667,60,51.0371017757186,480,1110,20,TRUE,FALSE,"","","Oak St at DW Field Park","",c(237891.072600763, 872439.751996391)
"57","SA","3880714",NA,456.75,1240.98333333333,25,32.6763888888889,55.7666666666667,52.7190695796319,480,1110,20,TRUE,FALSE,"","","Oak St across DW Field Park","",c(237874.214411228, 872424.758721269)
"58","SA","799180",NA,320,1425,302,3.67109634551495,15,23.1900452488688,480,1110,20,TRUE,FALSE,"001","","BAT Center","",c(240105.165141158, 870656.527358133)
"59","SA","799181",NA,441.916666666667,1262.38333333333,26,32.8186666666667,59.9533333333334,58.8580800899217,480,1110,20,TRUE,FALSE,"002","","Commercial St and School St","",c(240098.999658666, 870259.775734593)
"60","SA","799182",NA,321.583333333333,1336.58333333333,39,26.7105263157895,57.9666666666667,40.1605807334428,480,1110,20,TRUE,FALSE,"003","","School St and Lincoln St","",c(239868.820047005, 870387.746886983)
"61","SA","799183",NA,443.583333333333,1024.48333333333,11,58.09,60,58.6552074367361,480,1110,20,FALSE,FALSE,"004","","Main St and Centre St","",c(239736.521015926, 870512.433466939)
"62","SA","799184",NA,443.833333333333,1024.8,11,58.0966666666667,60,58.6578709813147,480,1110,20,FALSE,FALSE,"005","","Main St and Petronelli Way","",c(239733.84279363, 870592.704378924)
"63","SA","799185",NA,444.05,1025.06666666667,11,58.1016666666667,60,58.6598782784965,480,1110,20,FALSE,FALSE,"006","","Main St and Court St","",c(239732.416777606, 870665.994588404)
"64","SA","799186",NA,322.633333333333,1337.63333333333,39,26.7105263157895,56.6333333333333,39.404345922277,480,1110,20,TRUE,FALSE,"007","","North Main St and Linden St","",c(239764.62166682, 870908.10500968)
"65","SA","799187",NA,323.033333333333,1338.03333333333,39,26.7105263157895,56.1166666666666,39.1311384783799,480,1110,20,TRUE,FALSE,"008","","North Main St and Rosseter St","",c(239774.100552595, 871149.298006097)
"66","SA","799188",NA,323.233333333333,1338.23333333333,39,26.7105263157895,55.8666666666667,39.0022008757526,480,1110,20,TRUE,FALSE,"009","","North Main St and Elliot St","",c(239775.915681933, 871267.601055701)
