"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","stop_name","stop_desc","geometry"
"28","SA","50f02614-d7ed-4faa-b21f-27c8d21dab28",NA,546,985,14,33.7692307692308,54,41.5466970387244,480,1110,20,FALSE,FALSE,"MB9","Broad St / Lincoln St","",c(194813.871407553, 899264.922589742)
"29","SA","5b5eba65-15c5-4fef-b902-1e297ba4d8e0",NA,565,995,15,30.7142857142857,53.5,39.8883720930233,480,1110,20,FALSE,FALSE,"F26","Kohls","",c(208476.002446303, 894725.745911001)
"30","SA","5bc0337e-0145-41d3-b825-4285af3fbda0",NA,548,988,14,33.8461538461538,61.8,49.4409090909091,480,1110,20,FALSE,FALSE,"F22","Super Stop and Shop","",c(208103.028735648, 895058.190046735)
"31","SA","5ec0f6f9-8492-4516-bb0e-cbc6b5313d1c",NA,570,990,8,60,60,60,480,1110,20,FALSE,FALSE,"F67","BJs Wholesale Club ","",c(208319.893362964, 895168.727124649)
"32","SA","6250e0b1-76d5-4a93-9725-ae0d594d6910",NA,505,1025,40,13.3333333333333,34.2,24.4192307692308,480,1110,20,FALSE,FALSE,"N21","Natick Mall - Wegmans","Natick Mall- Wegmans",c(209371.030525754, 894560.190984639)
"33","SA","651767dd-06d3-418b-be32-ee1befeff801",NA,495,1034,9,67.375,115,101.159554730983,480,1110,20,FALSE,FALSE,"F11","Framingham State University","",c(205176.05304189, 894140.775077059)
"34","SA","6b60b122-63e6-446b-91aa-a6068aba603f",NA,583,980,5,99.25,100.7,99.2871536523929,480,1110,20,FALSE,FALSE,"MB20","Apex Entertainment","",c(192451.137273118, 898575.865449552)
"35","SA","72eeb424-870f-4754-ab60-975e5776f34d",NA,535,965,10,47.7777777777778,96.4,73.6837209302326,480,1110,20,FALSE,FALSE,"MB1","Marlborough City Hall","",c(196223.135254624, 899598.450669723)
"36","SA","73a8ce41-f167-402d-880d-7902aa6f4bad",NA,493,959,6,93.2,99.4,93.5751072961373,480,1110,20,FALSE,FALSE,"N23","Sherwood Village on Mill St.","",c(209596.600556196, 893113.611368165)
"37","SA","76b2f346-87aa-4f7c-b669-bed0672dee06",NA,518,1010,12,44.7272727272727,62,49.2845528455285,480,1110,20,FALSE,FALSE,"W1","Oak St","",c(213854.536429632, 894805.787399037)
"38","SA","77f43449-c9d4-441a-abf1-6d885a14f6f6",NA,584,1012,8,61.1428571428571,63.2,61.2710280373832,480,1110,20,FALSE,FALSE,"F54","Franklin / Mt. Wayte","",c(205883.015038389, 893289.771180418)
"39","SA","7c48755d-4bee-4a8d-b4f4-364c172a30e7",NA,579,1019,22,20.952380952381,49,35.1863636363636,480,1110,20,FALSE,FALSE,"F30","Lincoln St & Pearl St","",c(206926.588050311, 892404.732310533)
