"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","stop_name","stop_desc","geometry"
"112","WD","3aafcbf7-e332-4b5b-b805-6a5a422ca195",NA,458,1155,8,99.5714285714286,105.2,99.7718794835007,420,1140,20,FALSE,FALSE,"MB2","Lincoln St & Pleasant St","",c(195092.299622098, 899491.66307937)
"113","WD","3b5930ba-f70e-4f74-a74d-a14da1918e43",NA,397,1226,28,30.7037037037037,59.2,43.3739445114596,420,1140,20,TRUE,FALSE,"N27","Roche Bros.","",c(210154.566913578, 892405.207626001)
"114","WD","3ef7ac24-c8f0-4b6b-a81c-913ae133d342",NA,457,1177,13,60,60.9,60.0083333333333,420,1140,20,FALSE,FALSE,"F73","Concord St/ Anzio Rd","",c(207489.588458123, 893627.657783681)
"115","WD","40ca3b9f-9c89-4c79-84ed-69ea15a8a6b5",NA,487,1197,11,71,78.4,71.3323943661972,420,1140,20,FALSE,FALSE,"HL1","Holliston Public Library","",c(205833.057225346, 883364.383917387)
"116","WD","4175c54c-36a6-47cc-8f1b-f39575347fd7",NA,479,1185,16,47.0666666666667,99.4,92.014164305949,420,1140,20,FALSE,FALSE,"MB5","Solomon Pond Mall","",c(190732.412384075, 900518.520236804)
"117","WD","422bef0c-2874-476a-9ecc-b34ee8993142",NA,1095,1095,1,NA,NA,NA,420,1140,20,FALSE,NA,"N52","Kendall Plaza","",c(208889.332254971, 892462.606091618)
"118","WD","444c6537-938f-4597-ab80-3e067bf0b865",NA,401,1203,56,14.5818181818182,36.6,28.8827930174564,420,1140,20,TRUE,FALSE,"A4","Shaws Supermarket","",c(205568.370011222, 887814.987953808)
"119","WD","45bcc3cf-e80e-4180-92de-3b5581d86719",NA,463,1147,11,68.4,78.2,69.2514619883041,420,1140,20,FALSE,FALSE,"MF22","Birmingham Court","",c(198456.604993689, 877863.271630325)
"120","WD","486fdfee-0b1e-415b-84e6-1f59068f0ffd",NA,401,1174,34,23.4242424242424,49.2,33.2912447894207,420,1140,20,TRUE,FALSE,"F43","Walmart","",c(208205.576909583, 894422.678361489)
"121","WD","488be29e-7723-4630-bdd5-aee6cf1d4e34",NA,371,1222,33,26.59375,53.9,38.5158636897767,420,1140,20,TRUE,FALSE,"F08","Rt 9 East Park & Ride","",c(201349.648127509, 893991.888754468)
"122","WD","48a17140-5009-49fc-96f7-75b0e626891c",NA,374.233333333333,1187.23333333333,28,30.1111111111111,75,48.5996166461665,420,1140,20,TRUE,FALSE,"F40","Flutie Pass Park and Ride","",c(208995.60099311, 894476.876903162)
"123","WD","494a35b9-3c27-46f6-8ded-e8043880a2e0",NA,378,1191,13,67.75,74.6,68.09963099631,420,1140,20,TRUE,FALSE,"A5","Cirrus Apartments","",c(201788.05617385, 889533.525542185)
"124","WD","496776cd-d98a-4704-985c-7f39e018aa3f",NA,537,1133,14,45.8461538461538,99.8,99.4395973154362,420,1140,20,FALSE,FALSE,"MB17","Wayside Inn Store/ Hager St","",c(201022.844599068, 900126.783664604)
"125","WD","4abd44aa-df5f-4d82-a1bd-f5b3b82b9a6d",NA,373.033333333333,1192.96666666667,22,39.0444444444444,68.5833333333333,59.1544800390275,420,1140,20,TRUE,FALSE,"PING1","Wellesley Office Park","",c(220347.428549268, 897423.244665505)
"126","WD","4c2e7f99-08ae-4d04-b1d1-8ee2f68866ad",NA,454,990,5,134,304.6,334.641791044776,420,1140,20,FALSE,FALSE,"N33","Kansas St & Route 27","",c(211842.503477173, 893457.951383703)
"127","WD","4c62b8c3-5378-4ef4-9706-87e30e2c1708",NA,374.366666666667,1185.48333333333,11,81.1116666666667,84.8216666666667,81.3710450613352,420,1140,20,TRUE,FALSE,"W4","Newton-Wellesley Hospital","",c(220899.764957832, 898024.896940362)
"128","WD","4ef1e39b-96d3-402b-8f82-bcda377125be",NA,432,1126,11,69.4,73.1,69.5619596541787,420,1140,20,FALSE,FALSE,"MF11","Milford Senior Center","",c(198720.205523396, 876713.251639467)
"129","WD","50f02614-d7ed-4faa-b21f-27c8d21dab28",NA,395,1203,30,27.8620689655172,46.4,38.2673267326733,420,1140,20,TRUE,FALSE,"MB9","Broad St / Lincoln St","",c(194813.871407553, 899264.922589742)
"130","WD","517a9cbd-8ef2-4b39-ae46-f018cb8a8bc6",NA,428.433333333333,1120.96666666667,11,69.2533333333333,73.0533333333332,69.4088788345527,420,1140,20,FALSE,FALSE,"MF8","Maher Court","",c(199030.279159636, 877459.340008089)
"131","WD","58f9b39e-73ae-48fb-9178-5c69de45b399",NA,443,1131,22,32.7619047619048,71,69.0697674418605,420,1140,20,FALSE,FALSE,"MF15","Milford Regional Medical Center","",c(197615.378382831, 875808.611147435)
"132","WD","5b5eba65-15c5-4fef-b902-1e297ba4d8e0",NA,445,1176,25,30.4583333333333,53.8,39.5718194254446,420,1140,20,FALSE,FALSE,"F26","Kohls","",c(208476.002446303, 894725.745911001)
"133","WD","5bc0337e-0145-41d3-b825-4285af3fbda0",NA,418,1167,23,34.0454545454545,61.9,46.9759679572764,420,1140,20,TRUE,FALSE,"F22","Super Stop and Shop","",c(208103.028735648, 895058.190046735)
"134","WD","5e463b38-2425-4526-a4ab-a4e8f745a4ad",NA,367,1168,59,13.8103448275862,30,33.7390761548065,420,1140,20,TRUE,FALSE,"W18","MassBay Community College","",c(219541.966812044, 895743.466649045)
"135","WD","5ec0f6f9-8492-4516-bb0e-cbc6b5313d1c",NA,450,1170,13,60,60,60,420,1140,20,FALSE,FALSE,"F67","BJs Wholesale Club ","",c(208319.893362964, 895168.727124649)
"136","WD","6250e0b1-76d5-4a93-9725-ae0d594d6910",NA,352,1221,129,6.7890625,18.3,16.1645569620253,420,1140,20,TRUE,TRUE,"N21","Natick Mall - Wegmans","Natick Mall- Wegmans",c(209371.030525754, 894560.190984639)
"137","WD","651767dd-06d3-418b-be32-ee1befeff801",NA,343,1233,32,28.7096774193548,53,37.161797752809,420,1140,20,TRUE,FALSE,"F11","Framingham State University","",c(205176.05304189, 894140.775077059)
"138","WD","653a7026-997d-4f7c-948b-4d4a655599a0",NA,385,385,2,0,0,NA,420,1140,20,FALSE,NA,"MF26","Spruce St","",c(198401.843251331, 876864.510380696)
"139","WD","6b60b122-63e6-446b-91aa-a6068aba603f",NA,499,1197,8,99.7142857142857,104.8,99.8452722063037,420,1140,20,FALSE,FALSE,"MB20","Apex Entertainment","",c(192451.137273118, 898575.865449552)
"140","WD","6e32ef0c-ef95-4d54-bfab-4fde5006304a",NA,368.183333333333,1197.13333333333,24,36.0413043478261,59,47.3320783990456,420,1140,20,TRUE,FALSE,"F55","New York Ave","",c(200972.591896148, 894373.322273837)
"141","WD","6f5c1a02-d531-4ea0-87a5-a18cca2a7605",NA,357,1170,13,67.75,71,68.1217712177122,420,1140,20,TRUE,FALSE,"HP6","PriceChopper Hopkinton","",c(195739.303745265, 884351.613522914)
"142","WD","72270960-236c-4e3c-b7fe-63d97deaca92",NA,434,1100,20,35.0526315789474,45,37.1471471471471,420,1140,20,FALSE,FALSE,"H1","Hudson WalMart","Hudson Walmart",c(195133.313633384, 902722.632236381)
"143","WD","72eeb424-870f-4754-ab60-975e5776f34d",NA,400,1209,23,36.7727272727273,66.6,50.0160692212608,420,1140,20,TRUE,FALSE,"MB1","Marlborough City Hall","",c(196223.135254624, 899598.450669723)
"144","WD","73a8ce41-f167-402d-880d-7902aa6f4bad",NA,403,1221,18,48.1176470588235,75,58.8777506112469,420,1140,20,TRUE,FALSE,"N23","Sherwood Village on Mill St.","",c(209596.600556196, 893113.611368165)
"145","WD","743e3da4-73f1-4dc4-b3f5-96fb2ec75deb",NA,453.8,1141.33333333333,11,68.7533333333333,76.225,69.4730089854229,420,1140,20,FALSE,FALSE,"MF19","Colonial Rd Capital Rd Housing","",c(196936.651358424, 878496.251064033)
"146","WD","76b2f346-87aa-4f7c-b669-bed0672dee06",NA,356,1207,22,40.5238095238095,53,43.5710928319624,420,1140,20,TRUE,FALSE,"W1","Oak St","",c(213854.536429632, 894805.787399037)
"147","WD","77f43449-c9d4-441a-abf1-6d885a14f6f6",NA,340.316666666667,1235,39,23.544298245614,47.0583333333333,35.008620368473,420,1140,20,TRUE,FALSE,"F54","Franklin / Mt. Wayte","",c(205883.015038389, 893289.771180418)
"148","WD","7c48755d-4bee-4a8d-b4f4-364c172a30e7",NA,453,1191,23,33.5454545454545,64.5,47.5826558265583,420,1140,20,FALSE,FALSE,"F30","Lincoln St & Pearl St","",c(206926.588050311, 892404.732310533)
"149","WD","7ca11456-969c-43d0-a3e6-d0b6dcd50a10",NA,380,1105,17,45.3125,48,45.4441379310345,420,1140,20,FALSE,FALSE,"F66","Tarelli Ter/Waverly St","",c(207991.713319306, 892152.430577693)
"150","WD","7e3c3f82-c136-40a4-aea1-d2303c9690dd",NA,375,1187,22,38.6666666666667,82,81.4384236453202,420,1140,20,TRUE,FALSE,"W5","Woodland MBTA Train Station","",c(221171.965098025, 898108.536218163)
"151","WD","7f81b88d-02a0-463a-be76-ae4e76d91da1",NA,362,1191,36,23.6857142857143,55,42.5455729794934,420,1140,20,TRUE,FALSE,"F14","Staples Drive","",c(200960.228697715, 893399.992982597)
"152","WD","800f4da6-9579-4f8b-8578-e950905f3053",NA,423,1155,24,31.8260869565217,79,58.4398907103825,420,1140,20,FALSE,FALSE,"N36","Math Works","",c(212349.159811393, 894470.793381342)
"153","WD","81058253-713e-4d79-bba8-b8f8b1abcd39",NA,395,1187,49,16.5,53,40.9873737373737,420,1140,20,TRUE,FALSE,"MF6","Milford Crossing","",c(200962.036415905, 877721.209837565)
"154","WD","82afee5a-a373-4673-b9d0-cab9c40edce6",NA,390,1115,17,45.3125,48.5,45.4468965517241,420,1140,20,FALSE,FALSE,"F04","Bethany Hill","",c(205558.92433563, 890896.677660991)
"155","WD","82e716bb-1434-4367-87eb-181ea29743e5",NA,404,1221,18,48.0588235294118,56.4,49.0489596083231,420,1140,20,TRUE,FALSE,"N29","Cedar Terrace","",c(211904.069272234, 891394.079392998)
"156","WD","861050c3-7b47-4045-bd18-cd9ad9f9fa84",NA,420,1080,46,14.6666666666667,30,30,420,1140,20,FALSE,FALSE,"Ne2","Riverside Station","",c(220455.946297538, 898535.138523199)
"157","WD","881ad83b-9563-4ae5-8569-032768b27578",NA,469,1195,16,48.4,75,58.9779614325069,420,1140,20,FALSE,FALSE,"MB18","Hannafords Plaza Marlborough","",c(192451.609630373, 898809.888882131)
"158","WD","8836b64d-6492-4cad-aee4-dff14001f563",NA,393,1210,40,20.9487179487179,39.4,29.5635257717938,420,1140,20,TRUE,FALSE,"F68","Memorial House (Winthrop & Hollis)","",c(206601.465594828, 891069.517632768)
"159","WD","8caf7e5e-b0c7-4529-93bf-63ae813100fb",NA,459,1080,20,32.6842105263158,70,69.0257648953301,420,1140,20,FALSE,FALSE,"H8","Highland Common- Market Basket","",c(192169.000031839, 905132.312495156)
"160","WD","8ce8dafa-ec6e-4f35-a576-d5c1d552ba09",NA,453,1074,10,69,70.2,69.0257648953301,420,1140,20,FALSE,FALSE,"H6","Simrah Gardens","",c(191968.590449228, 905513.894288405)
"161","WD","8ff6b02f-424d-47ac-bebe-221ff72ad6fe",NA,422,1158,12,66.9090909090909,74,67.2445652173913,420,1140,20,FALSE,FALSE,"F53","Nobscot Shopping Center","",c(205417.946826245, 897579.411417226)
"162","WD","903773a0-1314-460e-9810-3c22b164c812",NA,417.183333333333,1188.18333333333,13,64.25,84.5,68.7578909064707,420,1140,20,TRUE,FALSE,"F36","Crossing Blvd","",c(200803.779173375, 893828.683258004)
"163","WD","90c30055-3955-4685-b93c-1fef3ba34a72",NA,370.3,1199.28333333333,30,28.585632183908,56,42.3659351816482,420,1140,20,TRUE,FALSE,"F13","California Ave","",c(201429.446580765, 894228.011786144)
"164","WD","90d27be8-691d-4ea4-adcc-00cbb1d5812e",NA,466,1152,11,68.6,77.5,69.5276967930029,420,1140,20,FALSE,FALSE,"MF5","Milford Library","Milfrod Library",c(198089.272349449, 877064.193776192)
"165","WD","93c3d7b0-42dc-4d48-9737-1981aa9ab961",NA,437,1058,10,69,71.2,69.0450885668277,420,1140,20,FALSE,FALSE,"H2","Hudson Stop and Shop","",c(194783.763366458, 903066.994927583)
"166","WD","971b9fce-55fe-420c-8e6a-550961919153",NA,404,1190,36,22.4571428571429,47.6,32.206106870229,420,1140,20,TRUE,FALSE,"F15","MetroWest Medical Center","",c(206594.706044002, 892659.65709938)
"167","WD","973e7245-055e-4757-a16e-259d6e4c6d02",NA,522,1142,14,47.6923076923077,78.6,64.1258064516129,420,1140,20,FALSE,FALSE,"MB14","Post Road Shopping Center","",c(197034.122663825, 900144.615054693)
"168","WD","983e3f34-0d83-4101-b4b5-a0ca7a043817",NA,367,1180,13,67.75,71.9,68.089790897909,420,1140,20,TRUE,FALSE,"HP3","Hopkinton Center","",c(198172.867904455, 886423.108920081)
"169","WD","984664f1-2572-4ee0-a83c-4d3726e53cb7",NA,470,1095,10,69.4444444444444,71,69.48,420,1140,20,FALSE,FALSE,"H9","Hudson Housing Authority","",c(193964.945761762, 903760.940004858)
"170","WD","9e7ed194-bd09-401e-9080-631f5fb9e4fa",NA,426,1201,33,24.21875,82.9,61.5367741935484,420,1140,20,FALSE,FALSE,"N44","Moran Park/Downtown MBTA","",c(212556.525046339, 892786.083438323)
"171","WD","a3640a4a-c010-4521-bc02-b37f2d886148",NA,406,1222,18,48,56,49.0220588235294,420,1140,20,TRUE,FALSE,"N28","Cedar Gardens","",c(211931.66625573, 891495.27205785)
"172","WD","a3b507bc-cafe-4071-958c-dec4706d2474",NA,394,1182,23,35.8181818181818,63.7,48.98730964467,420,1140,20,TRUE,FALSE,"F29","Rose Kennedy Lane","",c(207136.927043295, 893342.100845639)
"173","WD","a47b8279-0bb0-4ade-9d53-0599d86376f4",NA,349,349,1,NA,NA,NA,420,1140,20,FALSE,NA,"N50","Mall Rd/ Flutie Pass","",c(209249.583019452, 894581.927897763)
"174","WD","a8f64f01-0325-4fb4-bf93-aef4366af89f",NA,407,1145,12,67.0909090909091,75,67.349593495935,420,1140,20,TRUE,FALSE,"F84","Callahan Center","",c(205960.21383615, 893682.801761006)
"175","WD","a9cb54ef-5213-4abd-8314-1c47ee85a2a5",NA,335,1213,67,13.3030303030303,29.5,23.1548974943052,420,1140,20,TRUE,FALSE,"F02","Framingham MBTA Station","",c(206782.67710012, 891790.085602421)
"176","WD","a9f61865-59af-41f8-95c8-547fa186ddb8",NA,434,1178,11,74.4,78.2,74.5483870967742,420,1140,20,FALSE,FALSE,"F20","Nobscot Fire Station","",c(205583.671261958, 897676.36808431)
"177","WD","afec89f0-6720-473e-b019-2fb711b2003b",NA,394.05,1155.05,12,69.1818181818182,85,77.9776609724047,420,1140,20,TRUE,FALSE,"MB8","Academy Knoll Apartments","",c(195016.283671366, 899055.480266568)
"178","WD","b03a9fbb-fdfa-4ab5-9402-991021410042",NA,387,1185,39,21,39.5,29.7042606516291,420,1140,20,TRUE,FALSE,"F16","Framingham Center","",c(205397.635937393, 894448.620361832)
"179","WD","b6082ce2-98f7-4a0a-a732-b515d167c4f8",NA,534,1130,7,99.3333333333333,103,99.4395973154362,420,1140,20,FALSE,FALSE,"MB21","Target Marlborough","",c(199618.88436818, 899735.53686648)
"180","WD","b6ba290f-922e-4480-b04f-445cbfc8ac13",NA,532.633333333333,1136.48333333333,14,46.45,91.7833333333333,84.6877393208394,420,1140,20,FALSE,FALSE,"MB15","Farm Road & Route 20","",c(199319.757255508, 899707.405036441)
"181","WD","b72833df-ee2d-46a5-8aa5-ccf9ec6143dd",NA,344,1159,13,67.9166666666667,74.5,68.1901840490798,420,1140,20,TRUE,FALSE,"A2","Ashland High School","",c(202274.884657714, 888902.062898334)
"182","WD","b733ee7a-78ab-4474-b453-439df425e3fd",NA,422,1213,18,46.5294117647059,85.2,67.8040455120101,420,1140,20,FALSE,FALSE,"N17","Senior Center","",c(213392.736270536, 892860.481237531)
"183","WD","b80dcf9b-8f7b-4b28-a288-01fbb3c2fc15",NA,348.416666666667,1240.38333333333,5,222.991666666667,388.455,329.080513098397,420,1140,20,TRUE,FALSE,"F05","Concord St & Howard St/Downtown Common","",c(206864.630815334, 891911.83206545)
"184","WD","b9d83aa7-3d4f-43bb-886f-447d8d31b7df",NA,412,1182,23,35,56.6,43.6493506493507,420,1140,20,TRUE,FALSE,"F81","St Patricks Manor","",c(205774.715280026, 895335.250669674)
"185","WD","bca44d7c-4431-4e9a-9156-5ae55ee413e4",NA,382,1175,41,19.825,37.2,29.249684741488,420,1140,20,TRUE,FALSE,"F25","Shoppers World Shelter","",c(208664.549392432, 894374.766602209)
"186","WD","bcc8eb6a-50a5-417d-b8db-117bc3f74984",NA,378.833333333333,1181.85,24,34.913768115942,42.79,43.7162031367828,420,1140,20,TRUE,FALSE,"S2","White Bagley Rd & Boston Rd","",c(198668.678148677, 894888.256533467)
"187","WD","cb816f41-d2a5-4e37-80a2-67be7895cfaa",NA,389,1150,26,30.44,54.6,42.7555847568988,420,1140,20,TRUE,FALSE,"MB7","Main St","",c(196171.87954746, 899630.505910354)
"188","WD","cd2f74e2-1bef-480b-8aee-6378137d7e1d",NA,340,1198,26,34.32,43.6,37.1258741258741,420,1140,20,TRUE,FALSE,"A1","Homer Ave & Main St","",c(202971.116670895, 889894.549613171)
"189","WD","ce76635d-25b6-4a57-be84-d8d752274e48",NA,330,1245,209,4.39903846153846,10,11.7934426229508,420,1140,20,TRUE,TRUE,"BH","Blandin Hub","15 Blandin Ave Hub",c(207271.920595151, 891715.039044538)
"190","WD","d05e1ba2-243c-487a-a043-fafbe84749ac",NA,367,1180,17,50.8125,78.5,58.69987699877,420,1140,20,TRUE,FALSE,"F34","High St","",c(205301.851554522, 894407.893915742)
"191","WD","d380719e-09d7-4b21-9ec6-852e339ce2ce",NA,418,1209,18,46.5294117647059,87.6,70.9241466498104,420,1140,20,TRUE,FALSE,"N16","Leonard Morse Hospital","",c(213686.175435842, 892222.27841891)
"192","WD","d40a3f8f-2d7f-4be2-9a4c-97c773cdf682",NA,473,1170,11,69.7,78.1,70.4261119081779,420,1140,20,FALSE,FALSE,"MF24","Milford Kohls","",c(200876.934832407, 877492.098951199)
"193","WD","d6e9d75f-ac14-4834-8840-7cffd1e4ff95",NA,440,1128,11,68.8,72.1,69.0639534883721,420,1140,20,FALSE,FALSE,"MF14","EMK Community Health","",c(198445.603439726, 875221.778287136)
"194","WD","d7eda352-7d9e-475f-82cd-25272993e8c8",NA,450,1139,11,68.9,75.4,69.5863570391872,420,1140,20,FALSE,FALSE,"MF18","Milford High School","",c(197321.324095391, 877825.775843054)
"195","WD","db6ae1dd-e747-431d-aa2a-93e552bdb6b4",NA,471,1165,11,69.4,78.2,70.2247838616715,420,1140,20,FALSE,FALSE,"MF23","Hannafords Plaza/ CVS","",c(199817.436634012, 877750.193679188)
"196","WD","e090f95b-ae87-482d-ae80-b41e78745b49",NA,405,1216,29,28.9642857142857,47.4,37.347718865598,420,1140,20,TRUE,FALSE,"N22","Sherwood Plaza","",c(209448.61017851, 894267.28300838)
"197","WD","e0cb1216-2b30-40e3-bd7c-345540011dd6",NA,398,1207,49,16.8541666666667,35.9,25.4573547589617,420,1140,20,TRUE,FALSE,"A3","Market Basket","",c(206028.129629073, 889668.158569661)
"198","WD","e31c1291-d515-40be-9fa7-7c9957a40d91",NA,349,1229,28,32.5925925925926,50,38.9545454545455,420,1140,20,TRUE,FALSE,"F12","Stop and Shop","",c(204225.02126146, 894149.142054533)
"199","WD","e64db440-9753-4405-b36b-0b2be2a507f6",NA,335,1240,118,7.73504273504274,22.8,19.5193370165746,420,1140,20,TRUE,TRUE,"F56","Banana Lot/Intermodal Center","Framingham MBTA (Rear)",c(206802.845211314, 891848.934513652)
"200","WD","e921d8eb-b80e-4a6e-a2fc-e44b2e898167",NA,377,1190,13,67.75,74.6,68.0922509225092,420,1140,20,TRUE,FALSE,"A6","Ashland MBTA","",c(201399.524012958, 890101.58027651)
"201","WD","ebb1c886-7fc1-4fc9-8815-2d5b7e549418",NA,430,1123,11,69.3,73.1,69.4617604617605,420,1140,20,FALSE,FALSE,"MF9","East Main St Shelter at Beech St","",c(198896.525175035, 877023.653217081)
"202","WD","ee29f43e-5795-4735-b5e1-cdadde5ea0be",NA,393,1153,9,95,96.5,95.0657894736842,420,1140,20,TRUE,FALSE,"F87","Newfield Drive West Central St","",c(209110.315606234, 892396.600142479)
"203","WD","ee992cdc-6325-4e10-81e4-478fe91cb0c9",NA,426,1174,23,34,65.5,51.6176470588235,420,1140,20,FALSE,FALSE,"F21","Pinefield","",c(208027.324823594, 897293.113499244)
"204","WD","f1b3715d-148f-4a30-845f-45dcf2b67488",NA,467,1198,10,81.2222222222222,103.8,90.9124487004104,420,1140,20,FALSE,FALSE,"MB3","Route 20 & Felton St","",c(193513.397390787, 898983.874194049)
"205","WD","f22eb7a5-49ec-4a71-9166-a2c5ad582e52",NA,411,1217,18,47.4117647058824,62.4,49.9503722084367,420,1140,20,TRUE,FALSE,"N30","Coolidge Gardens","",c(212613.362216866, 892239.936417075)
"206","WD","f5053b07-3236-4a92-8811-55c2dd7ee000",NA,390,1230,56,15.2727272727273,34.8,31.5928571428571,420,1140,20,TRUE,FALSE,"F86","Second St at Rec Center","",c(208241.899896617, 891804.741418642)
"207","WD","f50f48a6-e47a-4c1c-8f35-a80047ac2bc6",NA,355,1225,61,14.5,35.1,27.7563218390805,420,1140,20,TRUE,FALSE,"F49","Halstead Apartments","",c(202526.22250449, 893682.517793856)
"208","WD","f645b13e-55df-443e-bf7b-cd29dcbc7fbd",NA,375.783333333333,1136.78333333333,12,69.1818181818182,85,77.9776609724047,420,1140,20,FALSE,FALSE,"S5","Central St / Cherry St","",c(199478.453086614, 893971.966453061)
"209","WD","fc96bab4-cc32-4985-ac8e-79c75beac40e",NA,393,1181,23,35.8181818181818,63.7,48.98730964467,420,1140,20,TRUE,FALSE,"F28","MassBay Community College","",c(207171.287908126, 893432.979749299)
"210","WD","fd7793f9-4f75-4421-b972-2b0c2d54bc69",NA,420,1110,11,69,73,69.1797101449275,420,1140,20,FALSE,FALSE,"MF7","Milford Target","",c(200007.868790411, 878893.010154518)
"211","WD","ff763433-1760-4b95-ab97-c2ff6dae38ff",NA,443,1064,10,69,71.2,69.0450885668277,420,1140,20,FALSE,FALSE,"H3","Esplanade Housing","",c(195015.927968363, 904627.398935167)
